단어,점수
공손하게,2.0
공손하다,1.0
공손함을,2.0
공손히,2.0
공연한,-1.0
공연히,-1.0
공익을,2.0
공적의,0.0
공정하다,2.0
공정하여,2.0
공정한,1.0
공정함,2.0
공평하다,1.0
공평하여,1.0
공평함,1.0
공포,-2.0
공포나,-1.0
공포증,-2.0
공허하다,-1.0
공허한,-1.0
공황상태,-1.0
공황장애,-1.0
과격하다,-1.0
과격한,-1.0
과금,-1.0
과대망상에,-1.0
과도하게,-1.0
과로,-1.0
과로로,-1.0
과식을,-1.0
과음,-2.0
과음하거나,-1.0
과장되다,-2.0
과장되어,-1.0
과장된,-2.0
과체중,-2.0
과하다,-1.0
관계없는,-1.0
관능적이다,1.0
관심병,-1.0
관심이나,1.0
관절염,-2.0
괄시,-2.0
괄시하다,-2.0
광견병을,-1.0
광명이,2.0
광탈,-1.0
괘씸하고,-1.0
괘씸한,-2.0
괜찮거나,1.0
괜찮고,1.0
괜찮다,1.0
괴로운,-2.0
괴로울,-2.0
괴로움,-2.0
괴로움과,-2.0
괴로움을,-2.0
괴로움이나,-2.0
괴로워,-2.0
괴로워하는,-2.0
괴로워하다,-2.0
괴로워하며,-2.0
괴롭거나,-2.0
괴롭게,-2.0
괴롭고,-2.0
괴롭다,-2.0
괴롭히거나,-2.0
괴롭히는,-2.0
괴롭히다,-2.0
괴멸,-2.0
괴멸되다,-2.0
괴멸하다,-2.0
괴물,-1.0
괴사가,-2.0
괴상하고,-2.0
괴상한,-2.0
괴이쩍게,-1.0
괴이하게,-2.0
굉장하게,2.0
굉장하다,2.0
교관하다,0.0
교만하게,-1.0
교만하고,-1.0
교만하다,-1.0
교만하여,-1.0
교만함,-1.0
교묘하게,1.0
교묘하고,-1.0
교묘하다,-1.0
교양,1.0
교양과,1.0
교육적인,1.0
교화하고,1.0
교활하고,-1.0
교활한,-1.0
교훈,1.0
구두쇠처럼,-1.0
구리게,-1.0
구박하거나,-1.0
구성지고,1.0
구속하다,-1.0
구속함,-1.0
구슬퍼질,-1.0
구슬프고,-1.0
구슬프다,-1.0
구슬피,-1.0
구역날,-2.0
구역질,-2.0
구역질나는,-2.0
구역질나다,-2.0
구역질을,-2.0
구역질이,-2.0
구역질하다,-2.0
구원하다,1.0
구원한,1.0
구제함,1.0
구차스러운,-2.0
구차스럽게,-2.0
구차하여,-2.0
구토,-1.0
구토를,-1.0
군색함,-1.0
군소리를,-1.0
굳게,1.0
굳세거나,2.0
굳세게,2.0
굳세고,2.0
굳세다,2.0
굳어지다,-1.0
굳은,0.0
굴복시킴,-1.0
굴욕,-2.0
굴욕감,-2.0
굴욕을,-2.0
