닉네임,날짜,내용,종목
푸르른른,2025-01-17T15:14:00+09:00,1월9일 기준 코스피 0.56퍼 떨어지는 동안 삼전은 7.4%떨어졋네 ㅋㅋㅋ,005930
개미51,2025-01-17T15:12:30+09:00,자사주좀 많이좀 사서 주가방어좀해라,005930
김치디텍터,2025-01-17T15:08:07+09:00,삼성이니까 3만가는건가요?,005930
아아아엉아,2025-01-17T15:06:31+09:00,리플 팔고 산게 이거라니 충격이네 재미없다,005930
쨈현이,2025-01-17T15:05:03+09:00,외국인 짱깨들 아주 징그럽다 냄새나는 넘들 ㅎ,005930
Teass,2025-01-17T15:04:42+09:00,국장하시는분들 진짜 궁금해서 물어보는건데 국장하는 이유먼가요,005930
쭈린이300,2025-01-17T15:04:25+09:00,추매,005930
올인하자,2025-01-17T15:03:47+09:00,다신 안본다,005930
갓심업,2025-01-17T15:03:24+09:00,외인 -400만ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,005930
갓심업,2025-01-17T15:02:14+09:00,삼성 ㅋㅋ지들이 짱인줄아는 곳이라 참 싫은데 주가 떨어진지 이렇게 오래됏는데 언제 8~9가냨ㅋㅋ,005930
하힝히,2025-01-17T15:00:15+09:00,3시다 이제 내려가겠네,005930
강타몽이,2025-01-17T15:00:09+09:00,진행,005930
삼성주식회사,2025-01-17T14:59:15+09:00,오늘 장렬하게. 전사 했다고 알려주오 ~~~,005930
스윙황제,2025-01-17T14:57:08+09:00,자리 좋다 ㅋㅋ 비증 종가 빠따 ㄱㄱ,005930
매도버튼안누르는사람,2025-01-17T14:56:41+09:00,대한민쿡 만세,005930
서노최고,2025-01-17T14:53:48+09:00,개미들 열받고 욕하는것보니 이제 물탈때가된듯 ㅎ 가자 삼전,005930
피터린치100루타,2025-01-17T14:53:01+09:00,HBM 관련 썰이 돌길래 혹시나 해서 재미로 조금 사봅니다,005930
응애나앵이,2025-01-17T14:50:05+09:00,고양이 내로 패턴이조 3만원대 간다 봅니다,005930
상승기원자,2025-01-17T14:48:05+09:00,너빼고 다 잘나간다 야ㅋㅋ,005930
MarketNews,2025-01-17T14:45:57+09:00,"삼성전자가 책임경영 강화를 위해 임원 성과급을 자사주로 지급하는 제도를 도입합니다. 이번 조치는 임원의 업무 목표를 명확히 하고 주가 관리와 경영 실적을 직접 연계하려는 의도로 풀이됩니다.

상무 이상 임원들은 초과이익성과급(OPI)의 일정 비율 이상을 자사주로 선택해야 하며, 등기임원은 100%를 자사주로 지급받게 됩니다. 지급된 주식은 1~2년간 매도할 수 없으며, 지급 이후 1년 뒤 주가가 하락할 경우 하락률에 따라 지급 주식 수량도 줄어듭니다.

삼성전자는 이번 방안을 통해 임원들에게 경영 성과와 주가에 대한 책임을 부여하는 동시에, 주주 가치를 제고하려는 강력한 의지를 보였습니다. 또한, 내년부터는 일반 직원들에게도 주식 보상 제도를 확대 적용하는 방안을 검토 중이라고 밝혔습니다.

이번 조치가 실제로 기업가치 상승과 주가 안정으로 이어질지 귀추가 주목됩니다.",005930
수익내놔라,2025-01-17T14:41:26+09:00,잘 놀고있네 이 친구,005930
이재용사생팬,2025-01-17T14:36:35+09:00,올라가주세요,005930
주식신등장,2025-01-17T14:36:04+09:00,빨리 4만5천 왔음 좋겠네,005930
호구로,2025-01-17T14:36:02+09:00,"미장이 아직도 잘나가
외인들은 살때 된거같은데
올라가기전
악재 끝
양자컴퓨터도 삼성",005930
연간20프로,2025-01-17T14:30:08+09:00,하이닉스보다 여기보면 참담하네 어이할꼬,005930
키타가키타,2025-01-17T14:29:36+09:00,ㅋㅋㅋㅋ 6층 7층은 평온한데,005930
내돈슬퍼,2025-01-17T14:29:02+09:00,없는 건가요...?,005930
kubectl,2025-01-17T14:27:02+09:00,원화 유출범들 잡아라!,005930
료이키탠카이,2025-01-17T14:26:08+09:00,"인텔주주 삼전주주 중에
누가 더 멘탈 쎌까요",005930
돈벌장유,2025-01-17T14:26:00+09:00,평단 다들 얼마에용…?,005930
한방만좀,2025-01-17T14:20:28+09:00,이게 사졌구나 헐,005930
ddex23,2025-01-17T14:18:36+09:00,삼성전자 55000은 갈꺼잖아~~ 한 잔 해~,005930
