Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
097950,CJ제일제당,KOSPI,,265000,1,14500,5.79,251500,266000,251500,37277,9708869000,3989359290000,15054186,STK,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식,강신호(각자 대표이사)",http://www.cj.co.kr,서울특별시
272210,한화시스템,KOSPI,,20050,1,220,1.11,20200,20300,19570,2993854,59669347560,3787833749450,188919389,STK,전자부품 제조업,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",2019-11-13,12월,손재일,http://hanwhasystems.com,경상북도
078930,GS,KOSPI,,40400,1,700,1.76,40050,40900,39850,126918,5149477150,3753781271200,92915378,STK,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,"허태수, 홍순기 (각자 대표이사)",,서울특별시
302440,SK바이오사이언스,KOSPI,,47700,1,3000,6.71,44600,47700,44600,79366,3684591600,3737165876100,78347293,STK,기초 의약물질 제조업,백신 제품 및 제제,2021-03-18,12월,안재용,http://www.skbioscience.com,경기도
011790,SKC,KOSPI,,98400,1,8000,8.85,91200,100100,91100,268373,25987504000,3726240523200,37868298,STK,기타 화학제품 제조업,"기초화학원료(PO, PG), 전지용 동박 등을 제조ㆍ판매하는 사업",1997-07-18,12월,박원철,http://www.skc.kr,경기도
005385,현대차우,KOSPI,,155800,1,6200,4.14,151100,156000,151000,57343,8866267300,3719255730400,23871988,STK,,,,,,,
011070,LG이노텍,KOSPI,,154700,1,2000,1.31,153800,156400,153100,143268,22193926500,3661301452900,23667107,STK,전자부품 제조업,기타 전자부품 제조업,2008-07-24,12월,문혁수,http://www.lginnotek.co.kr,서울특별시
035250,강원랜드,KOSPI,,16810,1,350,2.13,16500,16880,16500,432383,7241295550,3596339805000,213940500,STK,유원지 및 기타 오락관련 서비스업,"카지노,관광호텔,골프장,스키장,체육시설 운영",2003-09-04,12월,최철규,http://kangwonland.high1.com,강원특별자치도
066970,엘앤에프,KOSPI,,98700,1,3800,4.0,95800,99300,95800,178919,17418432900,3582448560600,36296338,STK,일차전지 및 이차전지 제조업,이차전지 양극활물질,2024-01-29,12월,최수안,http://www.landf.co.kr/,대구광역시
307950,현대오토에버,KOSPI,,130500,1,6000,4.82,124900,130700,124900,39453,5092704500,3578829651000,27423982,STK,소프트웨어 개발 및 공급업,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",2019-03-28,12월,김윤구,http://www.hyundai-autoever.com,서울특별시
