Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
000430,대원강업,1.55,-0.87,자동차부품,31682,125306225,246140000000,1
005500,삼진제약,1.62,-7.37,제약,21016,370976530,244501000000,1
007460,에이프로젠,3.95,-37.15,제약,1679049,1345400997,242995470706,3
001790,대한제당,1.64,-7.55,식품,31500,84459060,241732283100,2
117580,대성에너지,1.96,-12.02,가스유틸리티,38621,334710340,238150000000,2
000680,LS네트웍스,2.87,-12.34,증권,36573,109746195,237985108320,2
001630,종근당홀딩스,1.55,-19.2,제약,2913,137915650,237717904450,1
005720,넥센,1.21,-1.56,자동차부품,14244,62815585,236396658455,1
029460,케이씨,1.72,-16.85,반도체와반도체장비,6035,105348320,236111446480,2
001230,동국홀딩스,1.03,-8.3,철강,5989,44217320,235323574200,1
024720,콜마홀딩스,2.7,-3.23,화장품,14112,96864980,235958261920,2
003350,한국화장품제조,4.93,-32.29,화장품,33987,1769311500,235664000000,3
006340,대원전선,5.04,7.56,전기장비,5291111,16910403565,234309921875,3
007570,일양약품,2.3,-4.8,제약,33660,416411590,234944523840,2
013360,일성건설,10.36,234.23,건설,1674107,7152855820,233927730400,3
002810,삼영무역,0.79,-1.33,화학,862,10901040,233237553240,1
001500,현대차증권,2.0,-18.69,증권,86328,634886340,233087330700,2
001470,삼부토건,9.89,96.32,건설,5838185,5831096298,231289596768,3
006405,삼성SDI우,2.44,-36.3,전기제품,3552,508424300,231197338400,2
001250,GS글로벌,3.08,-23.88,무역회사와판매업체,488785,1360399055,230681870380,2
005945,NH투자증권우,0.84,2.35,증권,31196,380120050,230414519280,1
005010,휴스틸,1.9,-1.56,철강,93990,383278910,229528286375,2
008060,대덕,0.93,9.35,전자장비와기기,19924,134895690,229775217000,1
016590,신대양제지,1.51,-0.35,포장재,18065,103011390,229697574000,1
001510,SK증권,1.5,-4.13,증권,258995,126229562,229678823106,1
037710,광주신세계,0.64,-1.03,백화점과일반상점,2486,71815800,229564931500,1
007810,코리아써키트,2.78,-8.77,전자장비와기기,48653,471017260,228412662170,2
011500,한농화성,3.28,-26.72,화학,140138,2044300270,229708146980,3
016580,환인제약,1.25,-10.54,제약,2574,31289500,225618849100,1
