Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector
218150,KR7218150001,미래생명자원,KOSDAQ,벤처기업부,3770,2,-115,-2.96,3810,3885,3755,65791,249767040,76967573540,20415802,KSQ,식품
950200,KR8840150005,소마젠,KOSDAQ,외국기업(소속부없음),4000,2,-30,-0.74,3980,4070,3890,17933,71298690,76944212000,19236053,KSQ,생명과학도구및서비스
357880,KR7357880004,비트나인,KOSDAQ,기술성장기업부,2265,2,-120,-5.03,2385,2450,2235,598994,1396404000,76834933620,33922708,KSQ,소프트웨어
002230,KR7002230001,피에스텍,KOSDAQ,중견기업부,3955,2,-20,-0.5,3975,3995,3825,6822,26963210,76611011715,19370673,KSQ,전기제품
015710,KR7015710007,코콤,KOSDAQ,중견기업부,4365,2,-130,-2.89,4525,4535,4300,142311,625680145,76520632500,17530500,KSQ,통신장비
442900,KR7442900007,미래에셋드림스팩1호,KOSDAQ,SPAC(소속부없음),9940,1,10,0.1,9930,9950,9910,5996,59523480,76339200000,7680000,KSQ,창업투자
352700,KR7352700009,씨앤투스,KOSDAQ,우량기업부,2795,2,-15,-0.53,2795,2795,2755,25525,70875625,76238932705,27276899,KSQ,"섬유,의류,신발,호화품"
448710,KR7448710004,코츠테크놀로지,KOSDAQ,벤처기업부,14670,2,-540,-3.55,15210,15370,14350,56104,837718450,75999240630,5180589,KSQ,우주항공과국방
107600,KR7107600009,새빗켐,KOSDAQ,벤처기업부,15230,2,-280,-1.81,15620,15980,15230,10735,166177760,75868930350,4981545,KSQ,전기제품
036640,KR7036640001,HRS,KOSDAQ,우량기업부,4615,2,-150,-3.15,4695,4760,4590,28573,132702915,75477402000,16354800,KSQ,화학
039610,KR7039610001,화성밸브,KOSDAQ,우량기업부,7250,2,-140,-1.89,7250,7340,7120,242529,1750379360,75475400000,10410400,KSQ,기계
263600,KR7263600009,덕우전자,KOSDAQ,우량기업부,4735,2,-140,-2.87,4775,4830,4665,22308,105405845,75430017850,15930310,KSQ,핸드셋
067290,KR7067290007,JW신약,KOSDAQ,중견기업부,1482,2,-50,-3.26,1500,1531,1465,137313,205815136,75347105964,50841502,KSQ,제약
384470,KR7384470001,코어라인소프트,KOSDAQ,기술성장기업부,5870,2,-130,-2.17,6100,6110,5860,61203,362721850,75324215680,12832064,KSQ,건강관리기술
170030,KR7170030001,현대공업,KOSDAQ,우량기업부,4910,2,-220,-4.29,5020,5080,4880,41394,204662000,75319400000,15340000,KSQ,자동차부품
052220,KR7052220001,iMBC,KOSDAQ,중견기업부,3260,2,-35,-1.06,3300,3370,3210,763604,2498932920,74980000000,23000000,KSQ,방송과엔터테인먼트
307930,KR7307930008,컴퍼니케이,KOSDAQ,중견기업부,4795,2,-50,-1.03,4780,4855,4690,28082,133306745,74849950000,15610000,KSQ,창업투자
105740,KR7105740005,디케이락,KOSDAQ,우량기업부,7360,2,-220,-2.9,7550,7590,7320,59265,439706410,74840255680,10168513,KSQ,기계
128660,KR7128660008,피제이메탈,KOSDAQ,우량기업부,3010,2,-90,-2.9,3010,3085,2965,83566,251165025,74658140690,24803369,KSQ,비철금속
036670,KR7036670008,KCI,KOSDAQ,우량기업부,6620,2,-210,-3.07,6650,6800,6480,18530,122569660,74607400000,11270000,KSQ,화학
241840,KR7241840008,에이스토리,KOSDAQ,우량기업부,7820,2,-60,-0.76,7710,7860,7510,33549,257079570,74602753080,9539994,KSQ,방송과엔터테인먼트
142280,KR7142280007,녹십자엠에스,KOSDAQ,중견기업부,3430,2,-75,-2.14,3500,3560,3430,25185,87407890,74574806180,21741926,KSQ,건강관리장비와용품
104620,KR7104620000,노랑풍선,KOSDAQ,중견기업부,4695,2,-125,-2.59,4730,4860,4680,75427,357143135,74378781570,15842126,KSQ,"호텔,레스토랑,레저"
465480,KR7465480002,인스피언,KOSDAQ,벤처기업부,7330,2,-80,-1.08,7260,7500,7240,65970,485228440,74309868760,10137772,KSQ,IT서비스
215100,KR7215100009,로보로보,KOSDAQ,벤처기업부,3650,2,-60,-1.62,3710,3730,3530,95592,346406790,74271857100,20348454,KSQ,교육서비스
361570,KR7361570005,알비더블유,KOSDAQ,중견기업부,2580,3,0,0.0,2560,2595,2540,51667,132990270,74157690780,28743291,KSQ,방송과엔터테인먼트
088390,KR7088390000,이녹스,KOSDAQ,우량기업부,7900,1,120,1.54,7750,8000,7640,5863,45545660,74148167600,9385844,KSQ,레저용장비와제품
204840,KR7204840003,지엘팜텍,KOSDAQ,기술성장기업부,964,2,-22,-2.23,967,987,960,148971,143754151,74098058584,76865206,KSQ,제약
053260,KR7053260006,금강철강,KOSDAQ,우량기업부,3955,2,-70,-1.74,3915,3960,3915,6083,24050385,74037600000,18720000,KSQ,철강
007820,KR7007820004,에스엠코어,KOSDAQ,중견기업부,3695,2,-20,-0.54,3750,3750,3640,27695,101648820,74025430470,20033946,KSQ,기계
037350,KR7037350006,성도이엔지,KOSDAQ,우량기업부,4785,2,-75,-1.54,4855,4870,4745,27827,132937205,74023950000,15470000,KSQ,건설
049480,KR7049480007,오픈베이스,KOSDAQ,우량기업부,2355,2,-115,-4.66,2520,2825,2350,5598943,14703447925,73999711965,31422383,KSQ,컴퓨터와주변기기
066310,KR7066310004,큐에스아이,KOSDAQ,중견기업부,7980,1,480,6.4,7880,8600,7740,844887,6893705650,73987535580,9271621,KSQ,반도체와반도체장비
033170,KR7033170002,시그네틱스,KOSDAQ,우량기업부,863,2,-25,-2.82,870,901,858,643678,564563514,73983539297,85728319,KSQ,반도체와반도체장비
196300,KR7196300008,애니젠,KOSDAQ,기술성장기업부,12280,2,-420,-3.31,12520,12680,12140,47465,586644180,73721592360,6003387,KSQ,생물공학
130580,KR7130580004,나이스디앤비,KOSDAQ,우량기업부,4785,2,-90,-1.85,4780,4860,4740,5909,28307780,73689000000,15400000,KSQ,상업서비스와공급품
198440,KR7198440000,강동씨앤엘,KOSDAQ,중견기업부,1200,2,-23,-1.88,1223,1231,1200,32143,38806255,73118275200,60931896,KSQ,건축자재
237820,KR7237820006,플레이디,KOSDAQ,중견기업부,5690,2,-20,-0.35,5640,5760,5610,40782,231458050,72986426600,12827140,KSQ,광고
057680,KR7057680001,티사이언티픽,KOSDAQ,벤처기업부,1024,2,-8,-0.78,1010,1037,1003,322563,327764071,72958465024,71248501,KSQ,IT서비스
177900,KR7177900008,쓰리에이로직스,KOSDAQ,기술성장기업부,7850,2,-450,-5.42,8130,8480,7630,1085247,8680072390,72901380000,9286800,KSQ,통신장비
