Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
032190,다우데이타,1.61,-8.63,증권,26348,266907600,389511000000,1
389650,넥스트바이오메디컬,5.71,8.86,건강관리장비와용품,407188,20129094700,388565262300,3
078160,메디포스트,7.01,101.76,생물공학,168807,1973343260,389740571150,3
052400,코나아이,6.27,78.22,IT서비스,224925,5837495200,385909974100,3
220100,퓨쳐켐,5.33,-35.68,제약,449552,7918689000,382367281500,3
290690,소룩스,3.92,-6.3,디스플레이장비및부품,158547,1318458610,380462239000,2
035890,서희건설,1.97,4.31,건설,650328,1071134411,378494528679,1
455900,엔젤로보틱스,4.09,-3.62,건강관리장비와용품,254386,6512573150,376623601200,2
093320,케이아이엔엑스,3.49,-2.55,IT서비스,10708,823770200,372344000000,2
397030,에이프릴바이오,3.89,-31.3,제약,318439,5304888870,368392486320,2
218410,RFHIC,4.13,14.75,통신장비,192205,2582642710,367339210540,2
194480,데브시스터즈,3.03,-20.55,게임엔터테인먼트,29512,889065550,364831695000,2
114840,아이패밀리에스씨,4.37,-10.95,화장품,176089,3666661120,360356629600,2
420770,기가비스,3.5,-26.29,반도체와반도체장비,111478,3191688650,361892890900,2
006730,서부T&D,2.16,-10.44,"호텔,레스토랑,레저",104906,572594460,362598076500,1
215600,신라젠,3.33,-2.78,생물공학,399514,1047792865,359215031875,2
094170,동운아나텍,3.79,10.3,반도체와반도체장비,206112,3905669250,360560903280,2
068240,다원시스,2.68,-11.26,기계,45174,423131350,357973039060,2
338220,뷰노,4.44,-20.52,건강관리기술,137441,3554078700,357621587750,2
032500,케이엠더블유,3.96,23.75,통신장비,79312,696458000,355202276360,2
080220,제주반도체,3.3,-22.19,반도체와반도체장비,1376541,13896529760,353727894910,2
200130,콜마비앤에이치,2.4,-16.81,제약,56953,681140060,352398384840,2
051360,토비스,2.92,12.47,디스플레이장비및부품,194456,4118614100,344358335400,2
083450,GST,3.54,9.11,반도체와반도체장비,1385811,25486675310,343320714400,2
108860,셀바스AI,4.27,13.87,건강관리장비와용품,421640,5350180070,341279537200,2
095610,테스,2.79,1.81,반도체와반도체장비,67643,1162303390,341397263020,2
108490,로보티즈,4.25,36.36,기계,985249,25955046050,338266561500,2
094360,칩스앤미디어,4.07,12.56,반도체와반도체장비,201303,3236679330,336085221360,2
199800,툴젠,3.16,-33.53,생물공학,16571,649236450,334270435600,2
214430,아이쓰리시스템,3.39,43.93,우주항공과국방,25546,1192650350,331530354000,2
243070,휴온스,2.51,-1.61,제약,16145,447516900,329440787500,2
119610,인터로조,0.0,0.0,건강관리장비와용품,0,0,329090302200,1
237880,클리오,3.54,-35.29,화장품,44676,802987430,327814343420,2
059090,미코,3.39,0.1,반도체와반도체장비,257685,2483984420,324476914380,2
039440,에스티아이,3.63,-5.94,반도체와반도체장비,334242,6629549800,322932000000,2
348340,뉴로메카,4.85,28.6,기계,364635,11123491650,323343310000,3
101730,위메이드맥스,3.29,-4.93,게임엔터테인먼트,4086210,41181406990,319634803200,2
038500,삼표시멘트,1.55,-1.83,건축자재,65415,193646745,319432265760,1
445680,큐리옥스바이오시스템즈,4.01,2.64,생명과학도구및서비스,97996,1965627780,320225777880,2
049070,인탑스,3.43,-15.57,핸드셋,93696,1739705820,318028000000,2
041830,인바디,2.05,-3.73,건강관리장비와용품,20761,479843300,318147931500,1
230360,에코마케팅,3.11,-1.38,"섬유,의류,신발,호화품",19334,192716000,313421568840,2
013030,하이록코리아,2.28,1.8,기계,46644,1187981000,312304226800,2
256840,한국비엔씨,3.1,-18.75,건강관리장비와용품,1536270,7127143790,312397237800,2
148150,세경하이테크,4.74,40.33,핸드셋,617361,5302212250,308399689400,3
372170,윤성에프앤씨,3.47,-36.77,전자장비와기기,22971,885483650,310783919600,2
094480,갤럭시아머니트리,5.93,-0.13,IT서비스,288580,2271526290,308346526680,3
045100,한양이엔지,1.79,-1.94,건설,23636,401282850,308700000000,1
025770,한국정보통신,1.34,-4.57,IT서비스,59595,489888170,305919694070,1
089980,상아프론테크,2.56,-14.86,전자장비와기기,17488,336804280,306829620030,2
060250,NHN KCP,2.71,2.68,IT서비스,51858,395744220,307228674150,2
378340,필에너지,4.35,-22.71,전기제품,165524,2354978970,306090983160,2
136480,하림,1.06,3.04,식품,195925,563392315,305883941760,1
084850,아이티엠반도체,2.53,-31.01,전자장비와기기,13155,174405380,303497656920,2
027360,아주IB투자,6.72,28.63,창업투자,1021253,2582945885,304782423120,3
295310,에이치브이엠,7.83,50.51,비철금속,1242045,33436004550,302904143950,3
018310,삼목에스폼,2.41,-19.61,건축제품,7300,149000250,301350000000,2
394280,오픈엣지테크놀로지,4.4,9.1,반도체와반도체장비,198392,2737041590,302076584170,2
060280,큐렉소,4.47,0.55,건강관리장비와용품,152344,1124127250,302011426500,2
102940,코오롱생명과학,3.72,22.55,제약,34097,814051750,300024796050,2
041020,폴라리스오피스,4.73,14.64,자동차부품,889296,5371964600,297358478040,3
102710,이엔에프테크놀로지,3.51,0.49,반도체와반도체장비,209720,4166584540,294329421600,2
389020,자람테크놀로지,6.92,42.19,반도체와반도체장비,202429,9582012650,293152629000,3
101160,월덱스,2.3,-9.61,반도체와반도체장비,116194,2040610500,292905015820,2
