닉네임,날짜,내용,종목
리트리버1010,2025-01-09T17:12:54+09:00,외인들 들어왔는데 개관이 팔아서 떨어짐ㅂㄷㅂㄷ,005930
장투황태자,2025-01-09T17:08:53+09:00,남의 돈 가지고 장사하니까 매일 빙딘짓거리하고 욕쳐묵지..기관 화이팅!,005930
핑크쏘세지,2025-01-09T17:07:07+09:00,느낌 매수......,005930
딸둘아빠입니다,2025-01-09T17:02:00+09:00,나중에 또 들어가야겠네요.,005930
뀨뀽뀨뀽,2025-01-09T16:55:57+09:00,"이번달 안에 탈출 가능할까요?
ㅜ_ㅜ...",005930
왜나한테만엄격한데,2025-01-09T16:52:32+09:00,기다렸어,005930
보일러댁에아버님놔드려야겠어,2025-01-09T16:48:26+09:00,작년 7월에 8만 전자일때 물린 분들 심정.,005930
음주운전,2025-01-09T16:48:10+09:00,남은거도 계속 짤짤이로 팔아야지,005930
호슈려,2025-01-09T16:45:15+09:00,저도 삼전씨게물렷는데 2달만에 비트코인으로 본전찾고 지금은 수익중입니다. 돈이풀린시기엔 광기에올라타야합니다. 자본주의 양극화끝엔 이런 경기소비재는 답없음. 님들이 돈번다고 휴대폰 1대살거 2대 3대 사진않잔아요 그것도 갤럭시를,005930
바르뎀,2025-01-09T16:34:49+09:00,아 57에서 팔았어야… 고만하다 잤더니 ㅠㅠ,005930
미르앤리투자자문,2025-01-09T16:33:10+09:00,"아닌 듯하면서도 올해 들어 우리 주식시장은 연일 상승을 이어가고 있습니다. 코스피 종합지수는 첫 거래일을 제외하고 5거래일 연속 상승하고 있으며, KOSDAQ 지수는 새해 들어 하루도 빠짐없이 6거래일 연속 상승세를 이어가고 있습니다. 이런 증시 온기에도 불구하고 투자자에 따라서는 아직 보유 종목이 움직이지 않아 답답해하는 분들이 제법 많습니다.
하지만 시장은 결국 전체적으로 온기가 퍼져나갈 것입니다.
🔥📈💸🚒증시토크 칼럼 바로보기 :

※ 본 자료는 투자자들에게 도움이 될만한 정보를 제공할 목적으로 작성되었으며, 무단복제 및 배포할 수 없습니다. 주식투자는 손실이 발생할 수 있으며 투자의 책임은 투자자 본인에게 있습니다. 또한 수치 및 내용의 정확성이나 안전성을 보장할 수 없으며, 어떠한 경우에도 고객의 증권투자 결과에 대한 법적 책임 소재의 증빙자료로 사용될 수 없습니다.",005930
핑크쏘세지,2025-01-09T16:32:10+09:00,61700원 간거 넘 심한거 아닌가요...,005930
웅룽웅,2025-01-09T16:32:08+09:00,"역시
삼전은 줄먹;;;;",005930
따뜻해여,2025-01-09T16:31:08+09:00,언팩까지 쭉 오를듯,005930
동동파다,2025-01-09T16:22:55+09:00,삼전 내일 오른다? 손목아지 거실분?,005930
동아둉아,2025-01-09T16:20:51+09:00,기관 털렸대요~,005930
숙이고,2025-01-09T16:17:50+09:00,ㅋ 내가 다시 진입하니 떨어지는구나,005930
필성투,2025-01-09T16:17:12+09:00,잠시 쉬었다 갑니다.,005930
Halluci,2025-01-09T16:16:10+09:00,응 기다리면 그만이야.,005930
코밍랴,2025-01-09T16:14:51+09:00,하이닉스가 아니라 왜 삼전을 샀을까,005930
늪에서,2025-01-09T16:14:26+09:00,외인들 역시 개미들 잘 가지고 노네요 ㅎㅋ,005930
소박하게먹자,2025-01-09T16:12:15+09:00,저도 팔 수 있을 때 팔고 나갑니다..,005930
러블리소울,2025-01-09T16:11:13+09:00,다음 옵션 만기일인2월 13일까진 꾸준히 외인 들어오는게 맞겟죠? 이제 3월 13일 네마녀의날 기대돼내요 혹시 다음 배당락일은 언제 일까요?,005930
나현우,2025-01-09T16:08:30+09:00,하지만 곧 삼전으로 돌아올 예정,005930
펄어개새,2025-01-09T16:08:06+09:00,"그냥 탈출하고 미장 들어갑니다
언젠간 오르겠지만 여기는 가치투자가 아니네요",005930
럭키반지,2025-01-09T16:07:24+09:00,"못견디고 나갑니다
8만전자 화이팅",005930
2025Lucky,2025-01-09T16:07:15+09:00,내일 윤돼지 잡혀가려나보네.,005930
현준이아빠,2025-01-09T16:07:13+09:00,ㅋ,005930
망고사랑짱,2025-01-09T16:07:02+09:00,"ㅎ ㅎ 기분 좋아요,",005930
내꺼빼고다오르네,2025-01-09T16:03:22+09:00,내일까지 매수세 들어오면 바로 분할매수 시작,005930
보일러댁에아버님놔드려야겠어,2025-01-09T15:59:22+09:00,나는 옆동네 하이닉스 주주분들이 솔직히 부럽다.,005930
익절맨03,2025-01-09T15:57:25+09:00,더 낮아지면 들어 오겠습니다,005930
서현진,2025-01-09T15:56:24+09:00,"옵션 만기일에
외인 롱 포지션에 안도감.
기관 숏에 배신감.
아니 내 돈 (퇴직금) 으로
내 목에 칼을 겨눠?
오늘 손실 본 버거 형님들
낼 따블로 돈 싸들고 올 듯 ㅎ",005930
권제로,2025-01-09T15:46:02+09:00,장막판꼬라지보니까 내일 더내릴듯,005930
권제로,2025-01-09T15:45:18+09:00,진짜 외국인들 주차 잘시키네 지수 보합세인거보소,005930
곰돌이우,2025-01-09T15:44:08+09:00,근데 워낙 외인들 계속 매도할때 기관들이 방어해준거라 수익실현하긴 해야할꺼에요.,005930
뿌니걸,2025-01-09T15:43:44+09:00,아이c 다시 제 자리네,005930
개미51,2025-01-09T15:43:42+09:00,외인한태 계속맞다가 오늘은 기관이 뒤통수치네,005930
million,2025-01-09T15:42:55+09:00,기관이 가관이네 지들이 팔고 나가는구만,005930
곰돌이우,2025-01-09T15:42:30+09:00,우선 희소식은 외인 매수세는 유지된다는거네요,005930
김치전감자전삼전,2025-01-09T15:42:19+09:00,"다행이건
외국인은 매수
기관이 매도
기다려봅니다",005930
서노최고,2025-01-09T15:41:42+09:00,가관넘들 완전매국노들 기가찬다,005930
똑상가즈아,2025-01-09T15:39:35+09:00,내가 뉴스뜨면 털린다고 했쩨 ㅡㅡ 기관에서 양아치짓하네,005930
맨징하고파,2025-01-09T15:39:32+09:00,"장막판 200만주이상 매수
특정 거래원이 이틀연속 풀매수네요
조만간 급등한번 기대할만할지도..!?",005930
쿠키81,2025-01-09T15:38:25+09:00,ㅎㄷㄷ,005930
aiaitt,2025-01-09T15:38:19+09:00,"왜박는거죠.

엔비디아 게임용 그래픽에 삼성메모리 박는다는데",005930
쿠키81,2025-01-09T15:37:30+09:00,개관이 개관 했네,005930
아프리카얼룩말,2025-01-09T15:37:28+09:00,뭐하는 놈이야 이거,005930
런닝규,2025-01-09T15:35:15+09:00,마지막 들어온거 뭐지?,005930
길동이랑,2025-01-09T15:33:49+09:00,역시. 내가 오름을. 정지시켰네 ㅋ 사자마자. 엘리베이터 탔네유,005930
지구마불세계여행,2025-01-09T15:33:43+09:00,외국인 8만밖에 안팔았네요??,005930
한달300만벌자,2025-01-09T15:33:29+09:00,이틀을못가요,005930
우와진짜주식어렵네,2025-01-09T15:32:42+09:00,개미들만 판건가...,005930
구미장수말발,2025-01-09T15:31:08+09:00,오늘도 수고!,005930
푸르른른,2025-01-09T15:31:07+09:00,"이럴거면 어제.뭐하러 올렷냐
이러려고 올렸냐 나쁜놈들",005930
익쩌리styx,2025-01-09T15:29:35+09:00,"삼성전자 주가 흐름 진짜 잼있네여 ㅋㅋㅋ

#SK바이오사이언스 로 오세요
이번주만 10퍼 오름..

전 추천해줬어유 ㅎ

이제 오를일만 남음",005930
alongs,2025-01-09T15:29:08+09:00,오늘 팔았네요 ㅠㅠ,005930
미라클범띠,2025-01-09T15:28:44+09:00,7만만 가면 미련없이 털고 다신 안산다...,005930
돈물고오는까치,2025-01-09T15:27:51+09:00,하닉이가 이제ㅡ대장이네...,005930
송호도리,2025-01-09T15:27:28+09:00,국민주,005930
서창민서,2025-01-09T15:25:12+09:00,ㅇ,005930
벵벵벵축,2025-01-09T15:23:12+09:00,정찰,005930
파파몽,2025-01-09T15:23:04+09:00,(￣(工)￣) ?,005930
열혈아빠,2025-01-09T15:22:28+09:00,바닥권으로 보여 간만에 추매함~,005930
대박날꺼얌,2025-01-09T15:22:12+09:00,아주 쇼를 하고 있네.,005930
야잇흣,2025-01-09T15:21:44+09:00,ㅋㅋㅋ,005930
푸르른른,2025-01-09T15:21:18+09:00,뭐야 장후 버그야?,005930
주린살려줘,2025-01-09T15:21:16+09:00,올라가ㅠㅜ,005930
양봉탐지하는꿀벌이서,2025-01-09T15:20:21+09:00,세일하네,005930
으석이,2025-01-09T15:19:36+09:00,ㅋㅋ5년전이랑 주가가 똑같에 물가가 얼마나 뛰었는데,005930
마카오강,2025-01-09T15:16:50+09:00,..ㅠ,005930
부리부리대마와,2025-01-09T15:16:45+09:00,벨트 찼는데 왜이렇게 흔들리나요?,005930
장투황태자,2025-01-09T15:16:29+09:00,대한민국이 망하는거다.,005930
손마사요시,2025-01-09T15:15:33+09:00,침팬지도 이쯤되면 국장은 안올거같은데,005930
주식초보133,2025-01-09T15:15:21+09:00,하.. 그냥 존버 타야되나ㅠㅠ,005930
대나미,2025-01-09T15:14:11+09:00,운전 뭐같이하네ㅠㅋ,005930
차트볼시간에더자기,2025-01-09T15:13:12+09:00,"미장 쉬는날이라 맛만봤습니다



역시 지독한 맛입니다",005930
alongs,2025-01-09T15:12:41+09:00,부탁이야~~~,005930
지구마불세계여행,2025-01-09T15:12:23+09:00,태초마을 기모띠,005930
지하실밑,2025-01-09T15:11:53+09:00,역시는 역시다 이변은 없다,005930
갸주야요,2025-01-09T15:11:26+09:00,와 낚일뻔했네,005930
투기꾼서씨,2025-01-09T15:11:09+09:00,"뭐가 그리
급하다고 또 내려가니..
조금이라도 버티질 못하고..",005930
입색노랑이,2025-01-09T15:11:08+09:00,젠슨황 이빨 값이 딱 하루네…,005930
영주시,2025-01-09T15:10:57+09:00,ㅠㅠ,005930
호돌3,2025-01-09T15:08:29+09:00,수고하세요,005930
맨징하고파,2025-01-09T15:08:17+09:00,신용도 털리고 옵션만기에 급등락 장난없네요,005930
하힝히,2025-01-09T15:04:56+09:00,3시넘으니 확떨어지네,005930
포도님이라규,2025-01-09T15:03:43+09:00,꼬라지 좀 봐라 ㅋ 오늘 팔기는 글렀다...,005930
내가사면떨어젼,2025-01-09T15:03:30+09:00,이모양이면 우짜냐?,005930
익쩌리styx,2025-01-09T15:00:48+09:00,일부빼서 #SK바이오사이언스 로 갈아탐,005930
파파몽,2025-01-09T15:00:13+09:00,여기가 그래도 승차감은 좋더라고,005930
내가젤잘,2025-01-09T14:58:23+09:00,"6만만좀가자 갈때안됐나??
아놔~~",005930
빨간맛가즈아,2025-01-09T14:58:00+09:00,가즈아 제발,005930
프리티머큐리,2025-01-09T14:57:52+09:00,황사장이 말해도 안오르는건가?,005930
시너닝이다,2025-01-09T14:57:34+09:00,ㅎㅎㅎ,005930
동동파다,2025-01-09T14:56:32+09:00,약속의 3시!!!,005930
토마토0306,2025-01-09T14:56:09+09:00,6층사는 사람인데 물타기했습니다,005930
꿈꾸는희망웃자,2025-01-09T14:56:00+09:00,"떨구든 말든....마음대로 하이~소
망하지만 않으면 돼요.돼요.돼용
언젠~가는 가겠지...^^
쩐이 문제지...ㅋㅋ",005930
불타는만두장,2025-01-09T14:55:24+09:00,하이닉스로 벌고왔습니다,005930
진돌맘,2025-01-09T14:50:39+09:00,모간딩시ㅋㅋ,005930
행운초록클로ba,2025-01-09T14:49:33+09:00,다시 왔어요,005930
탐욕스님,2025-01-09T14:48:10+09:00,과거 삼전차트 쭉 보면 바닥에서 만원은 회복했었으니 59000원대까지는 가긴갈듯,005930
포도님이라규,2025-01-09T14:47:34+09:00,6시간째 보고 있지만 100원도 못 벌었네ㅠ,005930
그저살아간다,2025-01-09T14:41:31+09:00,삼성 또떨,005930
워렌흑우버핏,2025-01-09T14:39:20+09:00,단타치기 너무 좋은 종목,005930
가자스키,2025-01-09T14:38:15+09:00,"와
외국인 배신 때리네 또",005930
찡뚱이,2025-01-09T14:35:43+09:00,젠슨황할애미가 와도 지금으로선 5만초까지 빽턴확률 높음,005930
포도님이라규,2025-01-09T14:35:16+09:00,그래. 오늘 못 팔면 그냥 같이 가자. 당신은 나의 동반자~,005930
유유송,2025-01-09T14:34:06+09:00,"57900에 사람있어요.~~~~~
6만은 바라지도 않는다.
58이라도 한번만 ㅠㅠㅠㅠ",005930
도롱롱롱롱,2025-01-09T14:31:54+09:00,57.만 와라 탈출하게 ㅠㅠ,005930
Sidebar,2025-01-09T14:30:16+09:00,"발표 당시 ""G7 memory from Micron"" 발언으로 RTX5000시리즈 그래픽카드에 마이크론의 메모리가 탑재되고 삼성과 SK하이닉스의 메모리는 배제된 것이냐는 질문에 ""아니다""라는 답변을 하였음. 삼성전자, SK하이닉스, 마이크론 등 많은 협력사에게서 부품을 공급받을 예정이라고 밝혔음.",005930
콩순냥,2025-01-09T14:29:28+09:00,삼성은 왜이렇게 못가나요? 허탈하네요,005930
포도님이라규,2025-01-09T14:24:59+09:00,기를 쓰고 56700원에 팔려는 ×들,005930
빨간맛가즈아,2025-01-09T14:24:58+09:00,6분전,005930
러블리소울,2025-01-09T14:24:03+09:00,슬슬올라간다 가버리나?,005930
복따라기,2025-01-09T14:22:47+09:00,삼성 올라가자~넌 할수있어,005930
달금질,2025-01-09T14:22:37+09:00,"삼성이 출렁이면 코스피지수도 안올라간다.
너는 버팀목이 되어야한다.
힘내라! 💪",005930
예금보다더벌자,2025-01-09T14:21:43+09:00,삼럼 삼렇지ㅋㅋ,005930
아크테릯,2025-01-09T14:19:16+09:00,곧 다시 4만전자 볼것 같은데,005930
한걸음두걸음씩,2025-01-09T14:16:41+09:00,"#그냥봅니다
큰 호재없이 오른주식은 반드시 내린다
반대로 작은 호재만 발생하면 급상승도 한다
진입시점 보는중 입니다
저평가 되었다고 생각합니다",005930
스노우볼링,2025-01-09T14:15:39+09:00,"8일(현지 시간) 황 CEO는 공식 성명을 통해 “지포스 RTX 50 시리즈는 여러 파트너가 제조한 GDDR7 메모리를 탑재했으며, 그 시작은 삼성”이라고 밝혔다.

행복회로 풀가동 🙏🙏🙏🙏🙏",005930
동동파다,2025-01-09T14:12:33+09:00,어깨걸엇! 영차영차,005930
어마무시한햄찌,2025-01-09T14:11:16+09:00,"도망가
실적이 말이 안된다
왜 안떨어지는데",005930
천재혜,2025-01-09T14:11:07+09:00,하닉 팔고 ㅋㅋ,005930
진처링,2025-01-09T14:10:57+09:00,이거 잡주 아님?,005930
호잇힝,2025-01-09T14:10:56+09:00,삼성..기지개펴자,005930
시련달,2025-01-09T14:10:32+09:00,도망쳐,005930
조땜스키,2025-01-09T14:10:26+09:00,ㄹㅅㄱㄹㅅㄱ,005930
치넬리,2025-01-09T14:08:51+09:00,말아 올리고 망치캔들 바닥 확인이길 바란다..........ㅠㅠ,005930
브쪽잉,2025-01-09T14:07:23+09:00,미장가서 양자컴에 물리는것보단 삼성이 나은듯,005930
까르띠에탱크,2025-01-09T14:07:13+09:00,"국장에서 상장폐지 하고 나스닥에 상장 하면
어떻게 되나요?",005930
한량인생,2025-01-09T14:03:14+09:00,ㅋ,005930
뿌니걸,2025-01-09T14:01:19+09:00,악,005930
굿후드,2025-01-09T13:59:06+09:00,어제 막판 탈출.... 잘나왔네 내려가면 다시 매수..,005930
느기모,2025-01-09T13:58:42+09:00,실적봐라 일안하냐,005930
말리지마못참아,2025-01-09T13:57:48+09:00,ㅋㅋㅋㅋㅋ8천원이라도 벌긴 했네,005930
주린인하,2025-01-09T13:57:42+09:00,안녕히 계세요,005930
팝핀지누,2025-01-09T13:57:34+09:00,또 저점에 매수 타이밍,005930
진돌맘,2025-01-09T13:56:39+09:00,똑똑한 검은머리외인ㅋㅋ,005930
PEEDA,2025-01-09T13:56:09+09:00,"어차피 기대도 안했음.
2년동안 hbm하나 해결못하는 멍청한 놈들이 다닌.ㄴ 회사인데.. 뭘기대함.
브로드컴 파운드리도 일본한테 맡긴다지?",005930
럭키반지,2025-01-09T13:55:13+09:00,드루와,005930
녀님님,2025-01-09T13:53:18+09:00,다시 54전자 가는거니,005930
이방지,2025-01-09T13:52:45+09:00,버거성님들 어제 잘 구입해 놓으시고 오늘 왜 다들 반품을ㅠ.ㅠ,005930
앤든2,2025-01-09T13:52:01+09:00,6만이라도 일단 자리잡자!,005930
나르자,2025-01-09T13:51:01+09:00,"떨어질줄알고 팔았고
더 떨어질거고 다시 살거임
나같은 개미들은 어? 팔까? 할때 팔고
어? 살까? 할때 기다려야함",005930
파파몽,2025-01-09T13:50:55+09:00,여기는 냉탕임,005930
일개인적무림,2025-01-09T13:50:02+09:00,제 생각엔 60000 이하는 저평가 구간이 맞음 천천히 분할 매수했으면 고수들은 지금 수익권임 이래서 분할매수가 중요함 저처럼 몰빵하면 대응이 안 됩니다,005930
매스캇,2025-01-09T13:48:55+09:00,53오면 매수해야지,005930
가자어,2025-01-09T13:47:56+09:00,"어제는 악재는 호재다 하면서 오르더니 오늘은 엔비가 써준다는 호재나오니까 떨어지네 ㅋㅋㅋㅋ
또 그놈의 선반영임?",005930
KimYG77,2025-01-09T13:47:47+09:00,외국넘들 들어오는 척하다 다빠지네... 삼성을 믿는 내가 바보지,005930
수민93,2025-01-09T13:46:51+09:00,아주 개미들 털려고 열심히네 ㅋㅋ 좀 털려라 개미들아,005930
고래딸기지리산,2025-01-09T13:46:12+09:00,역시 아침 뉴스 좋은 소식 있으면 떨어지군 ㅡㅡ,005930
강미성,2025-01-09T13:45:45+09:00,내가넣으면 물림,005930
꾸물꾸물1,2025-01-09T13:44:44+09:00,여윽시 ㅋㅋㅋ,005930
블루판다,2025-01-09T13:44:38+09:00,지난번부터 말하지 않았나 외인은 기관이 계속 사줘야 팔건데 최근들어 기관도 외인따라 해서 외인이 그거 뿌리치려고 억지로 사고 기관 눈치보면서 판다고 호재가 없는데 들어올리가 없지.,005930
쀼직쿵,2025-01-09T13:43:37+09:00,역시 호재기사 뜨면 파는게 정답,005930
리트리버1010,2025-01-09T13:42:40+09:00,외인들 왜 나가는거지??,005930
존버하는거야,2025-01-09T13:42:10+09:00,진짜 지겹다 탈출하면 두번다시 안옴,005930
뭐지망한듯,2025-01-09T13:42:09+09:00,외국인들 왜 빠짐??;,005930
히코루또동,2025-01-09T13:42:05+09:00,저때문이에요,005930
1일100달러버는도토리도토리,2025-01-09T13:41:59+09:00,"누나 오빠 언니 형들아
지금 5만원~56000원 박스권 깨지고
5만6천 바닥다지기 중인거라고 나는 생각햄

내평단서 나는 3월까지 1차 20% 먹을생각입니다.

5만4천원중반대 내려오면 추매마지막 기회일것같은데 기회주고 갈지는 모르겠당

호재가 등장하기시작하고 신용투자줄어들고
외인 슬슬 들어오면 가는겁니다.
쫄지마세욤.",005930
2030년미래에서왔다,2025-01-09T13:41:13+09:00,이맛에 삼성주식하는거지,005930
마카오강,2025-01-09T13:41:05+09:00,아나 다시 마이너스네,005930
전자렌지,2025-01-09T13:40:58+09:00,한번 개미털고 다시 올리겠지,005930
투기꾼서씨,2025-01-09T13:40:44+09:00,정떨어지네..,005930
권제로,2025-01-09T13:40:39+09:00,다시 5.3 간다 꽉붙잡아!!!,005930
쿠쿠루삥뿡뿡,2025-01-09T13:39:27+09:00,애써올리고 다시내리오노!,005930
파파몽,2025-01-09T13:38:46+09:00,외국인들 간보고 멈춘것 같기도 하고 애매하네,005930
권제로,2025-01-09T13:37:57+09:00,제가 사서 내린거임 물론 1주만샀지만 ㅋㅋ,005930
보름낮달,2025-01-09T13:37:35+09:00,"얘는 진짜 숨기고 안보는게 맞구나
내년에보자 안녕~~",005930
일개인적무림,2025-01-09T13:37:23+09:00,솔직히 누가 봐도 저평가는 맞음 근데 이거 투자할 바에 미국 우량주나 투자하지 지금은 주가 저평가 환율 저평가라 괜찮긴함 그래도 소액만 투자하세요 변동성 없어서 노잼임,005930
1일100달러버는도토리도토리,2025-01-09T13:36:35+09:00,도토리도토리도토리₩₩₩₩,005930
Jinace,2025-01-09T13:36:32+09:00,이게 머선129!!,005930
익쩌리styx,2025-01-09T13:36:23+09:00,"잼있당 ㅎㅎㅎㅎ


애드랑 나 신나♡♡♡",005930
오빠달룡,2025-01-09T13:36:15+09:00,공매도 날라오면 미치겠죠 ㅠㅠ,005930
더도말고백억만벌자,2025-01-09T13:36:14+09:00,외인들 백원띠기 하고 나가네 ㅎㅎ,005930
다이소매매,2025-01-09T13:35:59+09:00,징그럽네..,005930
쪽박찬인생,2025-01-09T13:35:35+09:00,하루가 참 길구나....매일 반복되는 일상 오르락 또 내리락 또오르락 또 내리락 지겨벼,005930
운좋은자산가,2025-01-09T13:35:07+09:00,노답이군,005930
그라소,2025-01-09T13:34:33+09:00,떨어질 건데기가 아직도 남았니?,005930
네오셈,2025-01-09T13:34:28+09:00,오른거다시반납이네,005930
급등주설거지1타강사,2025-01-09T13:34:09+09:00,"바보라서 물린게 아닙니다 ㅋㅋㅋㅋ
정확히 이런 식으로 물리게 되는거지
다시 올라갈거라고 손실 안보려고 들고있다가 최소 한달형임",005930
회산동사슴,2025-01-09T13:34:06+09:00,이럴줄 알았다...,005930
잘사는집,2025-01-09T13:33:53+09:00,트위터,005930
재로재로,2025-01-09T13:33:14+09:00,이정도로 저평가임?,005930
장투그만,2025-01-09T13:32:55+09:00,떨어주는건 한순간,005930
갸주야요,2025-01-09T13:32:17+09:00,그래도 이정도탈출이어디냐 좀더 저점에들어오겠습니다,005930
일개인적무림,2025-01-09T13:32:09+09:00,외인 입장에서 이렇게 털어야 개미들 실망매물 받고 올림,005930
아직은주린잇,2025-01-09T13:32:04+09:00,무섭게 내려가네요..,005930
밥값냠,2025-01-09T13:31:33+09:00,자리 좀 지키자 님들아,005930
뵹아리일,2025-01-09T13:30:42+09:00,아 익절로 겨우 탈출했다가 다시 오니까 또 물리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,005930
마카오강,2025-01-09T13:30:39+09:00,어디까지 떨어지냐,005930
익쩌리styx,2025-01-09T13:30:31+09:00,꽉잡앙 ㅎ,005930
구름속의산책,2025-01-09T13:30:00+09:00,미래사업로봇ai어마하게큰돈이 들어가는데 몇년전부터벌써 계획이되어가는데 추진이잘된다면 미래사업만100조매출이가능하지않을까,005930
보름낮달,2025-01-09T13:29:25+09:00,그렇게 사재껴도 파는사람이 더 많아서 올라가지 않는 주식이라니.. 대체 그동안 무슨일이 있었던거임,005930
삼스헝,2025-01-09T13:29:04+09:00,미장으로 옮기고 수익 보는 중. 진짜 국장은 답이 없네,005930
푸바오돌아와,2025-01-09T13:28:26+09:00,"다들 매수버튼에서 손 떼세요!!!
전 삼전을 해봤어요!!!!!!!!",005930
로스차일드가,2025-01-09T13:28:17+09:00,잘 좀 되나 싶었는데 ㅜㅜ 뭐지 참 국장 탈출은 지능순인가...,005930
삼성전자주주주주,2025-01-09T13:28:07+09:00,"개미 븅신들이 어제부터 계속 파니까 못올리고

그냥 포기하고나가노ㅋㅋ",005930
마카오강,2025-01-09T13:27:58+09:00,도망갑니다,005930
미니퐁,2025-01-09T13:27:18+09:00,지겹다 지겨워,005930
25년1억벌기,2025-01-09T13:27:07+09:00,난 삼전주주는 아니지만 삼전은 잘되었으면하는 바램,005930
하힝히,2025-01-09T13:27:07+09:00,어제 올린거 고대로 다시 빼겠네 내일까지ㅋㅋㅋ 개미지옥이네 진짜,005930
일개인적무림,2025-01-09T13:26:49+09:00,전 59400부터 물량 정리할 거임 단지 미장 100으로 50만원 벌때 지금 삼전 800으로 -20만원 인게 변동성 1도 없고 이렇게 돈 묶이고 물릴바에 걍 엔비나 테슬라 변동성 쌘 걸로 묶이고 싶네요 그래도 한국 1등이라 샀는데 공부 안 하고 산 제 잘못이네요,005930
투자대회참가자25698,2025-01-09T13:24:43+09:00,참 징글맞다,005930
얼음연못,2025-01-09T13:24:41+09:00,개인들 또 낚였노 ㅋㅋㅋㅋㅋㅋ,005930
아직은주린잇,2025-01-09T13:24:20+09:00,내려와꾸나 역시,005930
trinity8888,2025-01-09T13:22:49+09:00,ㅎ,005930
삼성시크릿쥬쥬,2025-01-09T13:21:40+09:00,오늘도 개미만 낚였구나~~,005930
의왕불량주부,2025-01-09T13:21:29+09:00,모건은 하는짓이 개 쌩 양아치 같아요 아침에 쭈욱 들어와서 단타 치고 빠지네요 어제 목포가 낮주고 들어와서는 ~ 개미들 어그로 나 하고 하여간 개 쌩양치들..,005930
호오고우,2025-01-09T13:21:18+09:00,2퍼오르고 2퍼 조정하고 이게삼전이지 아오,005930
천재주린i,2025-01-09T13:20:49+09:00,다시 소액 입성,005930
급등주단타왕,2025-01-09T13:20:04+09:00,얼음,005930
전삼2500출,2025-01-09T13:19:54+09:00,#삼성전자 팔지마 ...,005930
국장여우,2025-01-09T13:19:10+09:00,"끝났어요,,?",005930
장투황태자,2025-01-09T13:18:50+09:00,기관=흉적=이완익=개양치,005930
익쩌리styx,2025-01-09T13:18:50+09:00,생각보다 빨리 내려온당..ㅎ,005930
매스캇,2025-01-09T13:18:15+09:00,"니가
그럼 그렇지",005930
해피엔딩s,2025-01-09T13:18:10+09:00,"분할 2차 매수 했습니다.

앞으로도 계속 잘게 분할 매수해서

평단 조절하고 수량 늘릴 생각이니,

혹시 함께 가실분들은 시드 잘게 나눠서

같이 가요^^

파이팅 입니다.",005930
짐시작,2025-01-09T13:17:48+09:00,밑에서 뭐이 잡아땡기나 올라가지를 못하네 ᆢ,005930
허후호혀,2025-01-09T13:17:23+09:00,심상치않다,005930
장투황태자,2025-01-09T13:17:19+09:00,기관은 매도해서 엿사쳐먹고.,005930
슈랭슈랭,2025-01-09T13:16:42+09:00,빨간불 안파라 ~떨어지면 물타징.,005930
귀싱꿈꿔뚀,2025-01-09T13:15:52+09:00,"우리나라 대표기업 주식이 이정도 일줄이야..
주식얼마안하고 물론장투를 해봣자 3-4개월정도지만.. 삼성은 ㅜㅜ
들어올때마다 왜 .. 고구마먹은느낌이징..
심지어 호재가 지금 널려있고 … 미래가치가
있어서 투자할맛 날텐데도 이렇게 오르지 못하니
ㅠㅠㅠㅠㅠㅠ 너무 물려잇는사람들이 많아서
그런가 ㅜㅜ",005930
초식동물OO,2025-01-09T13:15:48+09:00,대피하라,005930
장투황태자,2025-01-09T13:15:30+09:00,나라가 산다.갸양짓의 대명사 기관,005930
Mkopl,2025-01-09T13:15:01+09:00,10년 숨기기 해야것어,005930
러블리소울,2025-01-09T13:14:37+09:00,57000원 안뚤리니까 매도 친겁니다 매물이 많긴 한가봐요 내일 재돌파 시도할듯 아니면 월요일이나,005930
가격파괴,2025-01-09T13:13:37+09:00,재용이형 정말 너무하다...,005930
trinity8888,2025-01-09T13:12:18+09:00,파이팅!,005930
지누님,2025-01-09T13:12:13+09:00,다음에 다시 오겠습니다..,005930
효효쟝,2025-01-09T13:11:59+09:00,뭐꼬,005930
주린22221,2025-01-09T13:11:13+09:00,삼전 왜이러냐;;,005930
하힝히,2025-01-09T13:10:33+09:00,저번에도 57이랑58 못넘더니 이번에도 못넘네ㅜ,005930
주식은고기랑빵이다,2025-01-09T13:10:26+09:00,내가사면 떨어지고 팔면 오름.. 친구들이 너가 팔때 알려달라고…,005930
고공1244,2025-01-09T13:08:01+09:00,와 100만이 사라지네 ㄷㄷㄷ,005930
댕댕이12,2025-01-09T13:07:28+09:00,그냥 묵묵히 들고만 있어도 언제가 오를것을.. 마음이 조급해지면 투자도 실패로 끝나요,005930
주목이,2025-01-09T13:04:59+09:00,"이정도면 주식 떨굴라고 사는게 아닐까 싶은 망상이 듭니다
Feat . 잭슨황",005930
오늘도꼬라,2025-01-09T13:03:29+09:00,지금이 제일 싸다!!,005930
내나이아홉살,2025-01-09T13:03:29+09:00,흐흐흐흐,005930
파랑파롱,2025-01-09T13:01:28+09:00,호재만 떴는데도 바닥을 달리네 이야..,005930
SeP9,2025-01-09T13:00:21+09:00,외인 한큐에 백만주 팔았네,005930
일개인적무림,2025-01-09T12:59:44+09:00,잡주 탈출 하고 싶어요,005930
