Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap,Risk
140070,서플러스글로벌,2.79,11.88,0.4002266648892897,반도체와반도체장비,48377,129016695,99312780000,2
007370,진양제약,7.54,49.52,2.099715139558455,제약,6721266,49779608530,99311708050,3
259630,엠플러스,3.85,12.38,0.15433340960719788,전기제품,67262,541895830,99241808160,2
038110,에코플라스틱,3.52,13.41,0.35387488453384647,자동차부품,111551,267752735,99218181700,2
388790,라이콤,4.45,22.41,0.643049010139801,통신장비,665527,2194715150,98865538650,2
347890,엠투아이,2.5,18.98,0.6669887666632679,전자장비와기기,18709,108333390,98603979320,2
419080,엔젯,4.66,28.43,0.65163774915662,디스플레이장비및부품,15032,140702430,98590859950,2
067570,엔브이에이치코리아,3.25,2.86,0.15935785408730288,자동차부품,78545,182705660,98466950000,2
294090,이오플로우,11.09,19.59,-0.26045352021167445,건강관리장비와용품,308861,997784895,98459356865,3
013310,아진산업,3.09,17.09,0.6229410330383093,자동차부품,61798,156930725,98374685370,2
261200,덴티스,2.75,14.79,0.36864290596829036,건강관리장비와용품,24970,154192680,98178237000,2
007720,대명소노시즌,5.15,20.2,0.5033838496583023,판매업체,1000992,944942441,97776436500,3
049430,코메론,6.17,14.53,0.9361342026492144,기계,54840,591747340,97718400000,3
086960,MDS테크,5.03,35.96,1.2789494377285264,소프트웨어,1244883,1290960585,97555699188,3
072020,중앙백신,2.16,12.22,0.3981125539018668,제약,43557,436263990,97552738700,1
027050,코리아나,4.68,21.45,0.8978225247896636,화장품,233608,570013545,97400000000,2
204610,티쓰리,1.62,2.15,0.14919527255540185,게임엔터테인먼트,291891,445488091,97352779560,1
066310,큐에스아이,9.2,85.66,3.6251954855489976,반도체와반도체장비,384950,4056025890,97259304290,3
339950,아이비김영,6.7,18.88,1.068379256276529,교육서비스,274146,588432350,97084774800,3
180400,DXVX,4.76,29.74,1.1523733240919554,생명과학도구및서비스,706277,1380085105,97060719904,3
072770,율호,5.21,8.57,-0.48938394848085015,IT서비스,107211,148652323,96999014964,3
033230,인성정보,3.87,19.13,0.542991336303903,통신장비,569568,1079982206,96888498840,2
311320,지오엘리먼트,7.51,29.44,1.282773720789801,반도체와반도체장비,31939,243975510,96501384000,3
066790,씨씨에스,9.13,21.99,1.7857398031849558,방송과엔터테인먼트,1782357,2644880057,96490169759,3
347700,라이프시맨틱스,9.54,32.12,1.4871103551622495,건강관리기술,295726,1395783860,96406921490,3
