Code,Name,Volatility,TotalReturn,AvgReturn
084990,헬릭스미스,3.42,-9.33,-0.4070104002858182
123410,코리아에프티,3.2,-12.62,-0.3756023695693038
195990,에이비프로바이오,8.06,0.23,0.26326151222034133
108380,대양전기공업,2.18,5.74,0.3513303811168978
332570,와이팜,2.75,35.24,1.5676444910616705
459100,위츠,7.25,-16.57,-0.8040404714459453
149950,아바텍,3.96,-2.08,0.024965514063446936
051160,지어소프트,2.17,-5.43,-0.12519254692243684
396470,워트,3.98,-4.71,-0.26945855308213645
052420,오성첨단소재,3.63,0.99,0.1427289615987598
063170,서울옥션,3.85,-10.26,-0.3834666465708624
043610,지니뮤직,4.18,-4.09,-0.04554668793575967
042520,한스바이오메드,4.76,18.59,0.8343591802745258
090850,현대이지웰,1.99,-3.2,-0.35466179897122696
050960,수산아이앤티,13.79,105.82,4.636644329993575
151910,퓨처코어,0.0,0.0,0.0
094820,일진파워,3.77,-12.6,-0.5250554336242202
251120,바이오에프디엔씨,2.69,-2.04,0.037759268349836825
046210,HLB파나진,2.28,-0.7,0.04216488978747766
124500,아이티센,5.23,-13.46,-0.1516508699279756
061040,알에프텍,3.42,-3.09,0.1694244172220265
306620,네온테크,6.04,10.24,0.7076466719744134
260970,에스앤디,7.31,30.16,1.751802693153484
033290,코웰패션,3.37,7.57,0.5441155285563326
042510,라온시큐어,3.76,13.73,0.8091073825151558
042600,새로닉스,2.38,-10.23,-0.506757754800034
950110,SBI핀테크솔루션즈,0.1,0.4,0.02523707284973531
149980,하이로닉,4.89,3.21,0.5965459314253752
382900,범한퓨얼셀,3.1,4.69,0.30174429471232606
376270,에이치이엠파마,5.41,30.72,1.5305026519713438
065450,빅텍,2.65,-0.95,0.057675811143310086
418470,밀리의서재,3.1,-5.99,-0.018563134562831228
192440,슈피겐코리아,1.97,-3.19,-0.07737140135461955
264450,유비쿼스,2.36,-3.28,-0.10957164484514503
950190,고스트스튜디오,2.01,-6.73,-0.31222694459779216
005710,대원산업,1.14,-2.64,-0.09423820986472764
033790,피노,6.32,-2.26,-0.22165585883462016
376930,노을,8.17,2.41,0.46107818224254415
388050,지투파워,5.09,-31.78,-1.6842289753956259
310200,애니플러스,3.68,-0.58,0.12188754848432681
206400,베노티앤알,3.76,-9.01,-0.5544920980313088
476080,M83,6.68,-8.11,0.06678884529564941
452430,사피엔반도체,5.46,27.35,1.6827930242492528
066590,우수AMS,1.27,-0.33,-0.008985593113479129
023900,풍국주정,1.7,-4.52,-0.2170867132534693
173130,오파스넷,10.26,34.53,2.1358931164675194
338840,와이바이오로직스,5.42,-0.13,0.5963132823092026
053280,예스24,3.08,-17.64,-0.7601172414215934
378800,샤페론,7.02,13.49,0.8292600850496529
317870,엔바이오니아,2.49,-9.34,-0.3767061473375555
099750,이지케어텍,2.4,-4.11,-0.11461931014680463
005990,매일홀딩스,1.04,-0.82,0.011048121100978858
049520,유아이엘,3.92,18.22,1.1390980989503101
086710,선진뷰티사이언스,4.33,-0.32,0.5524743806478855
159580,제로투세븐,6.44,39.23,1.9550747318177137
119830,아이텍,3.09,3.67,0.6859686038516404
351870,차이커뮤니케이션,8.58,-13.22,-0.3111094406241212
273640,와이엠텍,3.16,-8.3,-0.2114343990569573
079810,디이엔티,4.01,-5.1,-0.14853267725593372
109740,디에스케이,1.9,-8.63,-0.4229626388697266
026150,특수건설,3.9,6.72,0.43779057734247784
089890,코세스,4.14,11.69,0.7155166193153872
069510,에스텍,1.89,-1.32,-0.030286911710596387
054050,농우바이오,1.16,-3.53,-0.21371644300630432
950220,네오이뮨텍,3.57,-4.96,-0.13871784521193806
147830,제룡산업,4.01,5.97,0.6156447702826737
419530,SAMG엔터,4.54,2.08,0.17672985450426215
361390,제노코,5.13,-5.85,-0.17958689570590242
217730,강스템바이오텍,3.96,-12.77,-0.7740675436414939
138080,오이솔루션,2.15,4.73,0.3082402374867654
282720,금양그린파워,4.08,-2.62,-0.16507976922579726
321550,티움바이오,3.46,5.25,0.11483692522725406
168360,펨트론,5.03,-17.81,-0.9700989547040118
067900,와이엔텍,2.26,-1.13,0.15658895385964106
381620,제닉스,4.92,-0.39,0.1046184060330944
163280,에어레인,10.22,16.9,0.9439929844452404
418420,라온텍,5.31,26.11,1.4765327668585875
018120,진로발효,1.33,-0.36,-0.04180547575240723
362320,청담글로벌,3.6,8.22,0.6136790460813402
302550,리메드,3.04,-8.01,-0.1850048056033749
124560,태웅로직스,2.88,-3.03,0.0390276053767191
417790,트루엔,1.74,5.13,0.3764481399133779
217820,원익피앤이,4.01,-6.07,-0.10338514682358908
322180,티라유텍,4.54,-0.57,0.10357961379900926
299660,셀리드,7.92,-20.58,0.42003688232893993
224110,에이텍모빌리티,11.97,75.34,3.5519998077310255
035610,솔본,2.05,1.78,0.1020986424135989
060560,홈센타홀딩스,3.75,11.04,0.6111909720024932
217330,싸이토젠,10.31,-7.37,-0.8641405492074441
407400,꿈비,6.98,62.52,2.721677240170302
056090,시지메드텍,3.03,-5.38,-0.29486939675674073
100700,세운메디칼,2.42,-2.36,-0.04227922357052825
131400,이브이첨단소재,3.73,-11.12,-0.47245592452516744
162300,신스틸,3.67,7.61,0.5152869696078382
208370,셀바스헬스케어,3.96,-12.84,-0.6047855718078937
453860,에이에스텍,4.2,-1.54,0.24291889202989453
067000,조이시티,3.77,-4.81,-0.033933656485714
900250,크리스탈신소재,2.49,-8.04,-0.34375307240582187
253840,수젠텍,5.4,15.68,0.9778271347473954
058400,KNN,3.92,6.3,0.3645609840913277
009300,삼아제약,2.49,-2.44,-0.08835910924739007
011560,세보엠이씨,4.4,-0.88,0.09525284867790922
021080,에이티넘인베스트,5.06,-10.1,-0.1959425142088756
272110,케이엔제이,4.63,12.77,0.743430808159629
452280,한선엔지니어링,5.2,-23.3,-1.089905821897278
411080,샌즈랩,5.04,-1.13,0.04249047601623044
045970,코아시아,5.5,7.86,0.7106645392222842
040350,크레오에스지,3.34,5.37,0.15924613130822773
065710,서호전기,1.54,-10.04,-0.47279104166057967
234300,에스트래픽,2.84,1.2,0.018154847992022917
039860,나노엔텍,3.58,-4.35,0.07552063692053479
382800,지앤비에스 에코,4.1,22.57,1.1095188956630802
348150,고바이오랩,3.9,-4.89,-0.008210565740898668
012700,리드코프,2.08,-6.56,-0.2885503232376935
452200,민테크,4.44,-7.57,-0.03585655824733358
019590,엠벤처투자,0.0,0.0,0.0
091440,한울소재과학,7.85,55.19,2.5177566510057665
061250,화일약품,4.27,6.58,0.4664992912782395
317690,퀀타매트릭스,7.7,-9.71,-0.0004229092253920097
027830,대성창투,8.43,34.4,1.878090412466134
023440,제이스코홀딩스,4.22,-19.38,-0.5621388727263483
041590,플래스크,0.0,0.0,0.0
033320,제이씨현시스템,6.74,-4.9,-0.023833097367663748
357230,에이치피오,2.22,-8.87,-0.42984834722794785
142210,유니트론텍,4.18,6.31,0.36913301691329503
146320,비씨엔씨,3.37,-5.15,-0.09821754459761026
300080,플리토,6.05,0.32,0.01414693759481982
058630,엠게임,3.32,-1.86,-0.013931486419038741
175140,휴먼테크놀로지,4.49,-12.91,-0.8395446837586444
054620,APS,3.14,-10.69,-0.3503463894711807
228850,레이언스,2.52,-4.91,-0.09634140422854379
109960,AP헬스케어,6.52,14.86,1.0997007939715497
111710,남화산업,1.81,-5.25,-0.21531733522010602
191420,테고사이언스,4.45,4.3,0.18783800309798537
417500,제이아이테크,4.23,10.46,0.582649606918204
093920,서원인텍,1.34,-3.51,-0.12609393312974282
095190,이엠코리아,3.47,28.29,1.2236635594616894
084730,팅크웨어,3.24,-1.08,0.0720834887321931
066700,테라젠이텍스,2.58,-3.25,-0.11010060457993967
000440,중앙에너비스,3.07,-7.93,-0.2671982323089983
