닉네임,날짜,내용
김치전감자전삼전,2025-01-10T10:02:45+09:00,외인은 결국 사게되있음
뭐지망한듯,2025-01-10T10:02:09+09:00,아몰랑 소량이지만 추매해본다..일단 간부터 다 봐야겠다 ㅠ
핑크쏘세지,2025-01-10T10:02:00+09:00,기관은 외인보다 더혀 ^^
펄업업,2025-01-10T10:01:41+09:00,올라가는건 힘들고 내려 가는건 쉽고...
김뗜뗜,2025-01-10T10:01:36+09:00,다들 몇층이세요..?ᩚ😢
수익좀내자1,2025-01-10T10:01:35+09:00,6만원을 못가네...
리드엘,2025-01-10T10:01:02+09:00,"단타를 제외한 순매수 물량이 너무 적음
현재로써는 자사주 매입이 대부분 인듯..

코스피가 단기적 조정을 받는다면 따라갈 수 밖에..

다음 주 수요일까지 6만원 회복 못할 듯..
한은 기준금이 동결이 되고 연준 기준금리가 인하되야 6만원 회복할 듯..

관전 포인트 1은 다음 주 목요일"
한장군2,2025-01-10T10:00:36+09:00,조금씩 용트림하네
콩지배자,2025-01-10T10:00:21+09:00,임마는 평단 낮추고 파는거 말고 답이 없을듯
또르교,2025-01-10T09:58:57+09:00,이걸 내가 왜 사갖고ㅋㅋㅋ
호오고우,2025-01-10T09:58:53+09:00,ㅋㅋㅋㅋ 와이러냐 진짜
펄업업,2025-01-10T09:58:02+09:00,이게맞나
핑크쏘세지,2025-01-10T09:56:57+09:00,자사주 매입이나 쉬지말고 해라 양심이 있으면
K429,2025-01-10T09:56:37+09:00,삼성이 그냥 좋아서 투자~~^^
바늘구멍뚫기,2025-01-10T09:56:11+09:00,5만8천을 못가네
사랑스런바비인형,2025-01-10T09:53:50+09:00,똥을싸네 진짜
장투그만,2025-01-10T09:53:21+09:00,엔비디아랑 뭐 있다메!!!
천쓰다,2025-01-10T09:53:18+09:00,넌 답은 없다 이제 쓸쓸 버릴때가 왓더 !!
맛있는여행,2025-01-10T09:52:50+09:00,떨어지면 사는거지~!!
길가다국밥먹자,2025-01-10T09:52:37+09:00,"삼전은 장투,,,, 1년이상은 기달려봐야할듯"
댄다고,2025-01-10T09:52:28+09:00,530
튀슬라,2025-01-10T09:52:15+09:00,뭔데
핑크쏘세지,2025-01-10T09:51:56+09:00,사기만하면 내돈 뺏네
아리샬,2025-01-10T09:51:51+09:00,줍
New질랜드,2025-01-10T09:51:23+09:00,언팩 직후에 오를까요?
개브럴티,2025-01-10T09:51:22+09:00,내가 뭐랬노...초장에 떨어진다 했잔아.... 54000갈끼다 아마.. 월요일도 호재없으면 외인들 주워먹었던거 다 토해 낼끼다.
반드시제1원칙을,2025-01-10T09:51:03+09:00,젠장 삼전 난 이제 니가 싫다
주식초보133,2025-01-10T09:50:55+09:00,불금인데 이러지 말자ㅠㅠ 올라가자!!
기부me,2025-01-10T09:50:15+09:00,빨간불향연에서 왜 너만
Society,2025-01-10T09:50:11+09:00,두달안에 6만 옵니다. 기달
이름모를,2025-01-10T09:49:43+09:00,영차 영차~
마꼬빵,2025-01-10T09:49:13+09:00,어찌나 미련을 못버리는지
더럽네,2025-01-10T09:48:54+09:00,🐕 같은소리
무인도왕자,2025-01-10T09:48:53+09:00,힘들 내십쇼
반드시제1원칙을,2025-01-10T09:48:16+09:00,본전만 어떻게 안 되겠습니까 제발
Halluci,2025-01-10T09:47:57+09:00,6개월 지켜보면 되겠지 뭐
말라뮤틍,2025-01-10T09:47:02+09:00,와~ 닉스는 투심이 살아있는데 이곳은 내가 넣긴 했어도 2%가 모자르다
동동파다,2025-01-10T09:46:52+09:00,쏜다!!!!! 어디로????!!!
