닉네임,날짜,내용
올려줘요슈퍼파월,2025-01-08T09:11:44+09:00,황 성님이 HBM다시 만드라는데 일은하니 월급만 받아먹는 벌레
인텔발시,2025-01-08T09:11:34+09:00,한국 망했는데 이거왜삼?
Suda17,2025-01-08T09:10:38+09:00,이걸 양전하네ㅋㅋㅋㅋ
마왕존버,2025-01-08T09:10:16+09:00,용이는 두뇌가 명석하나 설계가 산만함.당분간 혹한일듯.
주식은토끼처럼,2025-01-08T09:09:51+09:00,전년대비 올랐다는데여?
뒤비디,2025-01-08T09:09:47+09:00,"구경왔는데 무적의 선반영이군요
역시 국장은 재밌어"
리차드DG,2025-01-08T09:09:38+09:00,악재 다나왔으니 6만 찍으러 가자
능귤스,2025-01-08T09:09:02+09:00,무적의 선반영 ㅋㅋㅋㅋㅋㅋ
탱탱볼이된이재용,2025-01-08T09:08:48+09:00,대 재 용
한장군2,2025-01-08T09:08:28+09:00,"적자아니면
성공한거지
이익좀 줄었다고 난리여
영업이익이 6조되는 회사 몇개나있나요
국내 최고의 회사를 농락 하지말아라 세력들아"
Godnyeon,2025-01-08T09:08:27+09:00,ㄷㄷ 개미 겁나 털렸을듯..
김치전감자전삼전,2025-01-08T09:08:23+09:00,뉴스 커뮤 반대로 가면 집산다
주린이정현,2025-01-08T09:08:10+09:00,가즈아
삼하현직,2025-01-08T09:08:02+09:00,"삼성전자의 주가가 더 떨어지지 않는 이유는 이미 PBR이 1보다 낮아질정도로 저평가되고 있는 주식이기 때문이죠.

삼성 전자의 모든 자산을 판매했을때 나오는 현물자산 > 시가총액인 상황이니 더 떨어질리가 없습니다.

다만 이상황이라면 지독한 횡보장이 아닐까 싶네요."
코스에요,2025-01-08T09:07:52+09:00,"솔직히 얘가 지금 더 떨어질 데가 있을까..
회사에서 그렇게 사고있는데

최근에 사신분들 자사주 매입 + 저점이다로 버티다가 5만 밑 뚫으면 털고 나중에 호재건 뭐건 있음 6만 이상 가서 10~20% 먹으려는 사람들 아닌가요..

물론 저평가받는 국장이지만

먼 미래는 모르겠으나 계속 흑자내는 사업 가지고 있고, 주식 싹 다 사서 팔아도 본전이고, 꾸준히 배당 주고있고

아무리 삼성 망한다 망한다 하지만 현 시점에서 삼성만한 기업도 없는게 현실.."
초보쥬린봉,2025-01-08T09:07:50+09:00,단타익절
18K바나나,2025-01-08T09:07:45+09:00,국장은 안하는게 맞구나
지구마불세계여행,2025-01-08T09:07:44+09:00,삼성에게 이제 밝은 미래만 있습니다. 엔비디아 퀄테스트 통과는 시간문제 입니다!
맥똥날똥에선겨란후라이가5억원,2025-01-08T09:07:43+09:00,미장 박살났는데 너는 오르네?
패스파이너,2025-01-08T09:07:24+09:00,"다 계산해서 하는겁니다 전년에 얼마 벌었고 투자한게, 사업이 버는 돈이 얼마고
증권사 예상보다 낮은 건 악재맞아요

지금 외인들 집어던지는데 개인이 받아주고 기관이 방어해주는것같은데..."
북미주,2025-01-08T09:07:15+09:00,대주주 반대매매 나올것 같을때만 자사주 산다니깐
화가난드아,2025-01-08T09:06:42+09:00,진리의 선반영 ㅋㅋㅋㅋㅋ
장투를왜못해,2025-01-08T09:06:09+09:00,악재가 반응 하지 않을때가 바닥 근접
삼전뢍,2025-01-08T09:05:29+09:00,이미 며칠 전 기사들로 인해 떨어질건 떨어짐 근데 영업이익을 작년이랑 비교했을 때 증가폭이 뚜렷함. 증권가랑 비교했을때만 저런거지 ㅋㅋ
일감호,2025-01-08T09:05:20+09:00,"팔았다 재진입하려했는데
다시는 국장을 재단하지말고 그냥 예약 주문걸어두고 끄는게 맞는듯"
지구마불세계여행,2025-01-08T09:04:34+09:00,삼성에게 악재는 곧 호재다. 악재가 더 이상 악재로 작용하지 않는다!!!!!!
히루네,2025-01-08T09:04:32+09:00,악재도 선반영인가 보네
뇌동매매금지l,2025-01-08T09:04:09+09:00,ㅇ허 머야?
다바듀아,2025-01-08T09:03:33+09:00,젠슨황:삼전메모리안씀
나는야명탐정,2025-01-08T09:03:20+09:00,대 국 장 악재도 선반영 ㅋㅋㅋㅋㅋ
로빈아우디,2025-01-08T09:03:11+09:00,https://n.news.naver.com/article/215/0001194424
김치전감자전삼전,2025-01-08T09:03:08+09:00,잘 방어했다
가즈아떡상집사게,2025-01-08T09:03:04+09:00,개쩌네
아냐짱,2025-01-08T09:02:50+09:00,ㄷㄷ
감과촉으로매매,2025-01-08T09:02:48+09:00,사형전자가 될것인가…
북미주,2025-01-08T09:02:42+09:00,대주주 주식 강제청산 안 당하냐?
나는야명탐정,2025-01-08T09:02:23+09:00,실적 좋은데? ㅋㅋㅋㅋ 걍 예측보다 적은거뿐
쪽박찬인생,2025-01-08T09:02:00+09:00,하루걸러하루씩 지겹네 정말
한국봇,2025-01-08T09:01:48+09:00,"의심의 여지가 없다.
성공을 믿는다."
감과촉으로매매,2025-01-08T09:01:47+09:00,자사주 매입은 오늘 하려고 아껴둔것
홍pro,2025-01-08T09:01:39+09:00,4만드가자~
스곰이야,2025-01-08T09:01:09+09:00,머 이정도는
트럽프,2025-01-08T09:00:30+09:00,"영업이익 매출 100%이상
올라도 증권사 추정치보다 낮으면악제냐?
공시띄우는꼬라지하고는
ㅠㅠ
미장세금무서워서 팔아야것당"
외화유출금지,2025-01-08T09:00:24+09:00,와 ㅋㅋㅋ ㅜㅜ
마이쮸값벌러왔슴다,2025-01-08T09:00:22+09:00,삼성 시대 끝났나…
됴리뿅,2025-01-08T09:00:09+09:00,외인이 코스피 선물 숏친거 익절하려면 여기가 오늘 1순위 공략대상
오초코파이,2025-01-08T08:59:33+09:00,4만전자가즈아
불장굿,2025-01-08T08:59:09+09:00,이미 선반영된거여 ㅋㅋ
밥줘미,2025-01-08T08:59:07+09:00,하락?
주식대식구,2025-01-08T08:56:47+09:00,젠장6조 얼른도망처ㅋ
90일동안의호동씨,2025-01-08T08:55:29+09:00,근데 장전 산다는 사람이 왜케 마나요??
삼하현직,2025-01-08T08:54:44+09:00,"11조 -> 10조 -> 8조 -> 7조로 예측치 계속 내렸는데 이걸 하회하네요 ㅋㅋㅋㅋ

https://naver.me/GJTncKR1"
랄튜브구독자,2025-01-08T08:54:30+09:00,어닝쇼크??
두송84,2025-01-08T08:53:32+09:00,오늘이겠지?
wjs2,2025-01-08T08:53:29+09:00,어닝쇼크네 반도체 적자냐?
하힝히,2025-01-08T08:53:05+09:00,다시 53층가겠네ㅋㅋㅋ
헤로롤,2025-01-08T08:52:50+09:00,4만대에 다시 삽니다..
코코지마,2025-01-08T08:52:26+09:00,이야...큰일났네...
가즈아떡상집사게,2025-01-08T08:51:27+09:00,돔황챠 …
마소대주주,2025-01-08T08:51:23+09:00,"삼성전자 작년 영업이익 32조7천300억원…전년 대비 398.2%↑
- 4분기 영업이익은 6조5천억원"
주식평가사,2025-01-08T08:51:19+09:00,초상 나기 10분전
에큐보,2025-01-08T08:50:40+09:00,설레는 10분 전~
삼하현직,2025-01-08T08:50:35+09:00,"각종 지표가 생각보다 잘나와서 1월 금리 인하의 필요성을 없앴습니다. 1월 FOMC는 금리 동결로 예상됩니다.

이로 인해 어제 장중에 10년 만기 미 국채 6.9p 뛴 4.685%로 올랐습니다. 여기에 엔비디아 발표 실망감 겹쳐서 엔비디아 -6.2%를 비롯한 각종 테크주 다 -네요.

오늘 삼성전자 잠정 실적이 잘나오지 않는 한 하락은 예견됐습니다. 삼성전자 실적 쇼크나면 하락에 불붙일 거에요. 잘나온다해도 큰 상승은 못하고 마이크론 처럼 +2%가 최대일 겁니다. 또 20일 트럼프 취임식 전후로 보편적 관세 발표하면 내용에 따라 하락합니다. 게다가 29일 미 연준 FOMC에서 금리 동결 + 코멘트에 따라 또 하락 가능성 있습니다. 금리 동결 관련으로 인해 어제 나스닥이 하락해서 선반영이 되었지만 동결로 확정난다면 약간의 하락은 동반합니다.

참고하시길 바랍니다."
주식마요,2025-01-08T08:50:35+09:00,"대만계 미국인 젠슨황은 삼성전자에게 그동안 쌓인게 많아서 절대 물량 안줌...

기술혁신으로 시장이 다시 삼성전자을 바라보지 못하면 결국 도태되는 것임..."
PEEDA,2025-01-08T08:50:22+09:00,"어떻게 hbm하나 제대로 못만등어서 2년을 이러고 있지..
진짜 멍청이들만 다니는 회사인가

혹시나 반전 상승 기대하면 기대접어야될듯.
올릴 이유가 있음?"
팬덜이,2025-01-08T08:49:09+09:00,절대 매수하면 안됩니다!!!!
쭌삼이,2025-01-08T08:48:32+09:00,젠슨황 선생님이 숙제 다시 해오라네요!
밥벌레두목,2025-01-08T08:48:20+09:00,ㅎ
샤라랍,2025-01-08T08:47:30+09:00,오눌 박살 예감이네....
0형0,2025-01-08T08:47:08+09:00,비쌀때 사고 내리면 팔고 ㅠㅠ
20년모아야지,2025-01-08T08:46:46+09:00,순익 30조넘는회사가 개잡주취급이라니 ㅠ
북미주,2025-01-08T08:46:25+09:00,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
설계다시하래"
패스파이너,2025-01-08T08:45:44+09:00,"지난해 4분기 영업이익이 시장 전망치(7조원대)를 밑도는 6조5000억원을 기록하면서, 지난해 3분기에 이어 ""두 개 분기 연속"" 시장 기대에 못 미치는 실적을 올렸다.

https://naver.me/x8tNX6el"
월스트리트햄스터,2025-01-08T08:45:16+09:00,https://m.blog.naver.com/sierrajuliet-/223717793159
KK돈나무언니KK,2025-01-08T08:44:39+09:00,"✅ 속보 삼성전자 4분기 잠정실적

영업이익 6.5조원 기록(시장 컨센서스 8.2조원)
시장 예상치보다 하회"
누군지,2025-01-08T08:44:17+09:00,영익 박살 났음
모카푸라푸치노,2025-01-08T08:43:00+09:00,"요즘 세상에 분기 영업이익 6조 하는 회사가 쇼크라니....
이해 안가는 주식시장이네요"
흑우한마리,2025-01-08T08:42:51+09:00,32조!!
블루판다,2025-01-08T08:42:33+09:00,돔황차
삶과죽음그리고,2025-01-08T08:41:24+09:00,6.5 ㅡㅡ
주린수평아리,2025-01-08T08:40:52+09:00,아 다 팔걸
와카야마라멘,2025-01-08T08:40:48+09:00,실적쇼크에 황회장 발언까지 오늘 회장님들 증거금 터뜨리러 가겠네
PEEDA,2025-01-08T08:40:20+09:00,"6.5조

그냥 3년 묶어둬야.."
MarketNews,2025-01-08T08:33:05+09:00,"삼성전자가 오는 23일 언팩 행사를 통해 새로운 갤럭시 S25 시리즈와 첫 확장현실(XR) 헤드셋을 공개할 예정입니다. 갤럭시 S25는 AI 기능이 강화된 '원UI 7'을 탑재하며, 기존 모델보다 얇아진 '슬림' 모델도 추가됩니다. 특히 울트라 모델은 각진 디자인에서 둥근 테두리로 변경되어 사용자 경험을 개선할 것으로 보입니다.

S25 시리즈는 퀄컴의 '스냅드래곤 8 엘리트' 칩셋과 최대 16GB RAM을 적용해 성능을 대폭 향상시켰으며, AI 비서 기능을 통해 음성 인식과 질문 응답이 가능하도록 설계되었습니다.

또한, 삼성의 첫 XR 헤드셋인 '프로젝트 무한'은 구글의 '안드로이드 XR' 운영체제를 기반으로 하며, AI 비서 '제미나이'가 탑재되어 자연스러운 대화형 경험을 제공합니다. 이번 행사는 삼성의 기술 혁신과 글로벌 경쟁력을 강화하는 중요한 계기로 평가됩니다."
헹헹헹헹,2025-01-08T08:31:48+09:00,"가나여?
그래도 애국매수"
섬노예,2025-01-08T08:27:15+09:00,"추매나 때려야겠다
https://naver.me/GKUgHXUF"
경제신,2025-01-08T08:20:33+09:00,나스닥보니 오늘 개떡락이네
대치동푼돈벌이,2025-01-08T08:16:58+09:00,"삼성전자가 오늘 지난해 4분기
실적을 발표합니다."
마소대주주,2025-01-08T08:16:24+09:00,"젠슨 황 엔비디아 최고경영자(CEO)가 “삼성전자는 고대역폭메모리(HBM)을 새로 설계해야 한다”고 밝혔다.

7일(현지 시간) 황 CEO는 미 라스베이거스에서 개막한 CES 2025에서 열린 기자간담회에서 “삼성전자의 HBM은 지난해부터 개발 중이지만 새로 설계할 필요가 있다(have to engineer a new design)”고 밝혔다.

그는 이어 “SK하이닉스와 삼성전자는 모두 훌륭한 회사고 엔비디아의 가장 큰 두 공급업체”라며 “삼성전자가 HBM 개발에 성공할 것이라는 건 의심의 여지가 없다.
삼성이 매우 빠르게 헌신적으로 작업하고 있다”고 했다. 또 “삼성전자는 엔비디아의 첫 HBM을 만들기도 했다”고 부연했다."
땡깡쟁e,2025-01-08T08:13:45+09:00,https://naver.me/GsjpsoyN
장중에한눈팔지마라,2025-01-08T08:12:29+09:00,숙제 다시해와잇ㅋㅋㅋㅋㅋ
텐베거가꿈,2025-01-08T08:11:27+09:00,하청따리 미만.
케케케호호호,2025-01-08T08:10:20+09:00,답답해서 출제자가 정답 위치 알려주너ㅋㅋㅋㅋ
삼스헝,2025-01-08T08:10:02+09:00,4만 기다립니다
한진팬b,2025-01-08T08:09:06+09:00,얼마나 답답했으면 파트너사 한테 설계문제라고 사형선고를 하냐...
로빈아우디,2025-01-08T08:07:14+09:00,젠승 황 삼성 언급!!!
채땡보,2025-01-08T08:02:56+09:00,오늘 4만전자 가는거 아냐??
장투황태자,2025-01-08T07:58:48+09:00,오늘 폭락......우리증시는...자주적....주도적이지 못하니까....아침 일찍부터 자사주 준비해라...기대 안한다...
인생역적힝,2025-01-08T07:29:53+09:00,본장이 코앞이다. 이제 오를 건데 못 참고 팔아버리네 들.. 삼전이 코인인줄 아나
조던45,2025-01-08T07:27:24+09:00,"잭슨황 언급...
호재야? 나락각이야?"
엄벌기삣삐삣삐,2025-01-08T07:25:43+09:00,https://naver.me/Fuzgp83a
Draper,2025-01-08T07:19:10+09:00,https://naver.me/xl0Pub9H
나는야명탐정,2025-01-08T07:16:28+09:00,미장 보니깐 삼전은 양호하노 ㅋㅋ
누군지,2025-01-08T07:11:12+09:00,삼성은 내부에서부터 썩어있음 전혀 예전의 회사가 아님 직원들을 개무시하고 언플만 함
MarketNews,2025-01-08T06:13:37+09:00,"젠슨 황 엔비디아 CEO는 삼성전자의 고대역폭 메모리(HBM) 테스트가 성공적으로 진행 중임을 확신한다고 밝혔습니다. 그는 미 라스베이거스에서 열린 기자간담회에서 삼성전자의 HBM 테스트에 대해 “성공할 것”이라며 자신감을 드러냈습니다.

HBM은 D램을 수직으로 연결해 데이터 처리 속도를 혁신적으로 높이는 고성능 제품으로, 현재 SK하이닉스는 납품 중이며 삼성전자는 테스트 중입니다. 황 CEO는 엔비디아의 첫 HBM 메모리가 삼성이 제작한 것임을 강조하며, 삼성의 회복 가능성을 언급했습니다.

그는 테스트 진행 시간이 길어지는 이유에 대해 ""한국은 신속한 진행을 선호하지만, 이는 새로운 설계와 작업 과정에서 자연스러운 일""이라며 삼성전자의 노력과 헌신을 높이 평가했습니다."
0형0,2025-01-08T06:10:41+09:00,일단 손절
주식참어렵구나,2025-01-08T06:03:18+09:00,https://naver.me/x1VEKQXq
럭키반지,2025-01-08T05:49:53+09:00,"황형 올려줘..
나 미장에도 물렸단말이야🥲"
아으으노,2025-01-08T05:37:04+09:00,기머띠
금강야차룰,2025-01-08T05:03:22+09:00,황형 삼성 언급 성공 호재네요 ㅊㅋ...
DOGE코인,2025-01-08T04:43:41+09:00,젠슨황형님이 죽어가는 삼성 다시 심폐소생중~~
개브럴티,2025-01-08T04:39:27+09:00,엔비디아 거침없는 하락137(저항선)달러 밑으로 하락 할거 같은데요 ㅋㅋㅋ 오늘 삼성 오를까요?
송송송이리,2025-01-08T04:37:16+09:00,"https://www.edaily.co.kr/News/Read?newsId=01203766642035752&mediaCodeNo=257

그러지말고 좀 써줘.... 말만하지말겅"
내꺼빼고다오르네,2025-01-08T03:36:20+09:00,마지막 희망은 5시30분 엔비디아 Q&A에서 삼성언급뿐
매도알람시계,2025-01-08T03:20:41+09:00,엔비디아 GDDR7 마이크론만이 아니라 삼성이라네요?
개브럴티,2025-01-08T02:15:52+09:00,오늘 대하락장. 지옥불 열립니다
니맘이내맘,2025-01-08T01:14:22+09:00,낼 나락
등충회,2025-01-08T00:41:28+09:00,나스닥이 기침중이니 여긴 코로나 걸리겠내
극한똥손,2025-01-08T00:39:36+09:00,"워.. 삼전이 아니더라도 하이닉스가 반도체 시장에 선방 하는구나 하고 봤는데..

이번 엔비디아 기조연설은 한국 반도체 시장 자체가 경쟁력을 잃은게 아닌가 싶어 안타깝습니다..;;

정말 좋은 때는 다 간것 같은 상황이네요.."
가치주킬러,2025-01-08T00:33:41+09:00,대한민국 소멸하고 미국의 51번 째 주로 합병하자!
84가드패스,2025-01-08T00:21:15+09:00,"삼성부심......
힘좀 빼고 일해야겠네요...
그 놈의삼성이라는 이름으로 기죽이기 바쁘고
물론 그자리에 있는것 노력한것 존경하지만.
어깨힘부터 빼고 초심으로 겸손하게 앞으로 가는게..
다큐인싸보고 걱정만..ㅜㅜ"
루이Looi,2025-01-08T00:13:39+09:00,첫 주식으론 나쁘지않군
돈물고오는까치,2025-01-07T23:55:59+09:00,다큐인사이드 보니 삼전 빼야겟네요.. 미안하다... 이정도 일줄 몰랏네요 ㅜ 안타깝네...
주식시장참여자,2025-01-07T23:31:32+09:00,가전이나 팔아라 세계 1위아니가?
홀리카몰리카,2025-01-07T23:12:59+09:00,화이팅
하늘을닮은친구,2025-01-07T23:12:12+09:00,"외국은 겸손이란 문화도 없지만, 반대로 자가가 아주 대단한 줄 알고 깔보고 거들먹 거리며 문화도 없는데 삼성만 들어가면 세상 다 얻은양 어깨 뽕과 목에 힘이 과하게 들어 가는지 모르겠다. 퇴사한지 오래된 사람들도....조직이 망하기 전에 보이는 거만함이다. 남의 말을 안 듣는다."
대나미,2025-01-07T23:04:38+09:00,생각해보니까 엔비디아는 절대 삼성제품안쓸듯 중국에 기술유출되 국가는 거의 뭐 중국에가깝질않나.. 불량율도많고 총체적난국이네ㅠ
멓렁이,2025-01-07T22:57:18+09:00,얘 6층오면 판다고 몇달째 말하는지
림두치,2025-01-07T22:43:44+09:00,차사려고 뺐어요... 한푼두푼 줍줍..
소박하게먹자,2025-01-07T22:43:00+09:00,내일 1프로 상승(?)
늑대의왕,2025-01-07T22:41:27+09:00,삼전이랑 반년동안 함께했지만 여기까진거 같네요
가치투자할게요,2025-01-07T22:24:05+09:00,경영진의 무능이 삼성을 망치네요
빠빠스,2025-01-07T22:20:26+09:00,무야호 나더 우리집 다 LG 사랑해요 엔솔
주식이답이당,2025-01-07T22:10:51+09:00,75층만 와라 다시는 안한다
모두부자되쇼,2025-01-07T22:07:58+09:00,7만 금방임
오함마의현인w,2025-01-07T21:52:01+09:00,오만한 기업 그 자체임. 과거 필립스 꼴 날듯 ㅋㅋㅋㅋ 엔비디아도 손절. 구글도 손절. 한미 반도체도 손절.
럭키반지,2025-01-07T21:49:04+09:00,남기고싶지 않는데..?
쪽집게도사,2025-01-07T21:38:04+09:00,내일 상친다
태권도관장,2025-01-07T21:24:45+09:00,"내일 실적 안좋을꺼 같은데도 불구하고 오늘 거래량이 많은 이유 있나요?
내일 어떻게 생각하시나요?"
AVALACH,2025-01-07T21:24:09+09:00,갤럭시 S25에 마이크론이라니.. 삼성도 삼성을 거부해버리기...
폴리73,2025-01-07T21:19:48+09:00,이건희회장의 유명한 말이 있죠.. 우리는 기다려주겠으나. 대신 남의 뒷다리는 잡지말아라.
튀슬라,2025-01-07T21:19:47+09:00,왜 엔비디아 홀대 하셨어요 재용님!!!!!!🥹🥹🥹🥹🥹
징권우,2025-01-07T21:00:09+09:00,엔비가 삼성이랑 협력을 안하는 이유 삼성보다 시총 낮았을때 젠슨 황이 도움을 요청했더니 삼성이 홀대해버림
월스트리트햄스터,2025-01-07T20:58:30+09:00,https://m.blog.naver.com/sierrajuliet-/223717793159
개브럴티,2025-01-07T20:53:43+09:00,횽님들 미장에서 1년에 250만원 다벌고 그다음 부터는 세금이 22프로 맞나요? 그럼 버는족족 22프로 세금 떼어가면 이것은 정말 비합리적인데...1억벌면 2200만원 세금으로 떼어가면 열폭할거같은데 어떻게 참음?
코코꼬크,2025-01-07T20:50:47+09:00,ㆍㆍㅋㅋ웃음만
개브럴티,2025-01-07T20:38:23+09:00,다시 내려갈 조짐이
인생곱버스3배,2025-01-07T20:36:32+09:00,"엔비디아에 버림받음
삼전 올해 45000까지 내려갑니다."
한국부동산원,2025-01-07T20:33:31+09:00,"#삼성전자
살아나라살아나라"
areyou,2025-01-07T20:32:42+09:00,이거어디까지내려가는거예요?
또또또니니,2025-01-07T20:02:34+09:00,"엄마가 7만원대에 사셨는데요,, 시드는 몰라요 걍 있는 현금 다 넣으셨다구 했는데 2-3년은 기다리신대요
저는 그냥 매도하고 미장으로라도 복구하라고 말씀드리고 싶은데 제 주식도 아니고,, 그치만 엄마가 우울해하는 걸 보니 저두 속상해요
결론은 삼전 파이팅입미당,,,,"
금발태닝남,2025-01-07T19:57:26+09:00,"이건희 회장님이었으면 2019년도부터 HBM 메모리 RND도 투자 대폭 하셨을 거고 QC 품질도 나쁘면 애니콜때처럼 전량 리콜해서 망치로 부셨을듯

이제 메모리든 파운드리든 삼전은 점점 시장 점유율 떨어지며 매각하는 시나리오밖에 안 남음"
장대양붕,2025-01-07T19:54:12+09:00,25년도 최고가
단타익선,2025-01-07T19:20:15+09:00,뭐하냐진짜
90일동안의호동씨,2025-01-07T19:13:37+09:00,아 일한다고 탈출 못함 ㅠ
소신것하심,2025-01-07T19:12:00+09:00,배추싸게사서ㆍ적당한가격에파는게좋음ㆍ타이밍이중요함
주린이왕왕초보,2025-01-07T18:57:43+09:00,오를듯 오를듯 다시 돌아 제자리걸음만 하네요 ㅠ
삼성주식회사,2025-01-07T18:53:11+09:00,황~~ 이 삼성 ..하이닉스 안쓴다며
빠빠스,2025-01-07T18:28:22+09:00,삼전이다 명심해라 집에삼성쓰냐 폰삼성이냐 놉놉
노묵끼,2025-01-07T18:23:05+09:00,꽉잡으라 내려간다잉~
Goodquality,2025-01-07T18:21:49+09:00,성투들하시죠
Teass,2025-01-07T18:19:58+09:00,삼전 버림받았는데 낼 얼마나 박을랴나 ㅋㅋ
난세금만가져가,2025-01-07T18:12:18+09:00,황: 응 GDDR 안써 마이크론이야
늘푸르다람쥐,2025-01-07T18:11:12+09:00,나쁘게보면 박스권재진입ㅋㅋ 물론 예상했던부분 단시간내 뚫을만한 재료가 없기도하고 자사주소각시 상승폭이 있긴하겠지만 시가총액으로 잡아봐도 1프로미만예상으로 크지않을것이고 하락시 4만9천원대까지 열린챠트라 분할매수로 꾸준히 모아가면 될것같은데요 상반기안에는 6만원대가지않을까 봅니다
사람지표는정직하다,2025-01-07T18:04:03+09:00,내 휴대폰은
보일러댁에아버님놔드려야겠어,2025-01-07T18:02:36+09:00,"삼전 주식이 안오르는 이유 9가지

1. 메모리 업황부진
2. 혁신부재, HBM관련 뻘짓
3. 간부급들 무능
4. 트럼프 리스크
5. 윤통 꼴통짓
6. 답없는 국장에서 미장, 코인으로 자금 대거 이동
7. 쳐오르는 환율
8. 기술 유출로 중국이 메모리 거의다 따라잡고있음
9. 젠슨황 손절"
이번생도망,2025-01-07T18:00:41+09:00,"오늘 젠슨황이 뭐라했어?

우린 마이크로꺼 쓸꺼다 라고 했지 않냐?

너네들은 무슨생각들어?
삼성 망햇구나 오전장에 팔았어야했네
다들 이런사람이 태반일꺼야

반대로 생각해봐
엔비디아에서 삼성껄 안쓰고 마이크로껄 굳이 왜쓸까
삼성보다 칩이싸서? 수율이 더 좋아서?
아니야..

삼성은 이미 케파가 꽉찻어
브론즈컴 .amd.테슬라 등등 이미 케파를 받아놓은거지
어때 다음주 장이 기대되지 않아?

같이 가보자고"
흰둥구리,2025-01-07T17:58:41+09:00,"그것때문에 삼전 하닉 떨어진게 아닌가요?

발표후 나락 간거 같은데?"
보일러댁에아버님놔드려야겠어,2025-01-07T17:57:20+09:00,나는 그래도 가전제품은 삼성껄
hahau,2025-01-07T17:52:31+09:00,바닥 그만 다져라
앙모그래,2025-01-07T17:51:05+09:00,다시 5만2천가서 바닥 땅땅하게 다지고 다시 가자
푸르른른,2025-01-07T17:48:58+09:00,"맨말 돈도 안되는 냉잔고에 스크린 넣어두고 스케쥴 알려줘 이런거 그만하자. 재미도 없고 돈도 없안되는 짓... 누가 냉장고 앞에서 그러고 있냐?

차라리 양자컴을 만들어 언제까지 하청업체 짓 할래?"
구라쟈냐,2025-01-07T17:48:42+09:00,까까사먹어야겠당
개잡주안산다고해놓고또샀네,2025-01-07T17:46:34+09:00,아~씨 오전에 잠깐 올랐을 때 팔 걸... 팔았으면 얼마라도 이익 보고 다시 구매 했으면 됐는데... 젠장 삼숑아 도대체 뭐하냐???
어드미니스트레이터,2025-01-07T17:45:55+09:00,개인이 매수로 돌아서니까 외국인이랑 기관은 바로 매수로 돌아서네 ㅋㅋ
Pooga,2025-01-07T17:41:56+09:00,"외인, 기관은 팔고 있는데 개인은 구매하는 아이러니한 상황....
5만원까지는 내려갈거 같긴한데"
For4MUSD,2025-01-07T17:39:57+09:00,우리가 알던 삼성이었다
최선인가,2025-01-07T17:39:40+09:00,헐~~~
매너있는투자자,2025-01-07T17:38:12+09:00,젠슨황이 찬물을 끼얹어 버려서 떨어진거군요..ㅜㅜ
하따의마술사,2025-01-07T17:33:35+09:00,"삼성전자
CES에서 차세대 엔비디아 그래픽카드가 출시되었습니다.
반응도 좋고 기대감이 많이 올라왔고요,
차세대 GDDR7 메모리 수요가 급증할 겁니다.
삼성전자에게 다른 기회가 온 것 같습니다.
삼성전자 연말에 주가 12만원까진 거뜬합니다.
매수 적극 추천합니다."
Olsted,2025-01-07T17:29:47+09:00,"마이크론칩 ㅠ
삼전꺼는 어디에 사용 되는겨"
삼전만사는사람,2025-01-07T17:23:37+09:00,일부 손절
매끈한문어,2025-01-07T17:23:24+09:00,나는 사면 천날 만날 떨어지네..삼성전자와 안맞는듯..
대충알아들었지,2025-01-07T17:22:39+09:00,"김치의 맛을 못 잊고..다시..삼성..으로 돌아오게되어있습니다..
때려죽어도 삼성전자를 팔면 안됩니다..
삼성이망하면..부동산도망하고..우리도망합니다...
모두 추매로 응원합시다..!!
영차 영차K-주식 화이팅 @ @"
Zzed,2025-01-07T17:22:23+09:00,1만원 가고 다 죽자
일을우째,2025-01-07T17:22:14+09:00,걍
모여이,2025-01-07T17:22:03+09:00,엔비디아도 이제 거르는ㅜㅜ
보일러댁에아버님놔드려야겠어,2025-01-07T17:18:16+09:00,내리려는 분위기다.
설탕김치,2025-01-07T17:12:33+09:00,동전주 가면 풀대출간다
달달하너,2025-01-07T17:09:44+09:00,ㅋㅋㅋㅋㅋㅋ 커뮤 절반이 분탕치러 오는 미장충들이네
강대장222,2025-01-07T16:56:14+09:00,오르려는 분위기인가여
울화통터지는주식,2025-01-07T16:55:58+09:00,여기 산 돈이 아깝다
인생백수,2025-01-07T16:50:50+09:00,"푸바오티비나 오세요~~

#푸보티비"
진짜궁금한데,2025-01-07T16:47:01+09:00,"아아아아 왜구래 삼전 메모리좀 써주지.....ㅠ
조졌네 이거"
순금님,2025-01-07T16:37:08+09:00,-12.5%장기로. 매수햇어요
조유찬,2025-01-07T16:36:17+09:00,고
인생은개꿀이고싶다,2025-01-07T16:34:15+09:00,떨어질때 하는게 맞겠죠?
냐상실,2025-01-07T16:33:32+09:00,ㅋㅋ
이스트범,2025-01-07T16:30:01+09:00,미장이 답
주식은토끼처럼,2025-01-07T16:25:54+09:00,내일 5만 3천원 예상
피렌체에가고싶어,2025-01-07T16:22:37+09:00,"노키아, 필립스"
Zzed,2025-01-07T16:18:11+09:00,삼쪽이는 답이 없네
한노동,2025-01-07T16:14:34+09:00,당분간 하락보합이겠네요
땡글님,2025-01-07T16:11:26+09:00,오늘 미장에서 돈 많이 벌어서 내일 삼전 실적발표하면 삼전 넣어야겠다 ㅎㅎ
