Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap,Risk
485540,KODEX 미국AI테크TOP10,1.57,5.41,0.3984608372901587,해외주식,309558,3709,1181,2
418660,TIGER 미국나스닥100레버리지(합성),2.96,1.28,0.3375296764314854,해외주식,178395,4889,1177,3
496080,TIGER 코리아밸류업,1.39,6.29,0.2131717099016408,국내 시장지수,484322,4660,1176,2
438570,SOL 국고채10년,0.38,-1.79,-0.07862887081760109,채권,218,23,1175,1
475260,ACE 2월만기자동연장회사채AA-이상액티브,0.06,0.29,0.018755852038973255,채권,1145,11,1172,1
462540,SOL 25-09 회사채(AA-이상)액티브,0.02,0.31,0.01714639952011512,채권,4951,265,1156,1
232080,TIGER 코스닥150,2.25,10.82,0.3155867429034892,국내 시장지수,228721,2775,1148,3
466400,1Q 25-08 회사채(A+이상)액티브,0.02,0.28,0.01583966427201723,채권,56,5,1133,1
438100,ACE 미국나스닥100채권혼합액티브,0.57,2.19,0.20072607731750902,기타,394664,5443,1130,1
412770,TIGER 글로벌메타버스액티브,1.12,-0.34,0.05526286930374787,해외주식,27174,321,1117,2
328370,PLUS 코스피TR,1.42,6.05,0.20305760740708728,국내 시장지수,68,0,1108,2
304940,KODEX 미국나스닥100선물(H),1.42,-1.74,-0.042745848214468,해외주식,26082,646,1103,2
465350,RISE 2차전지TOP10인버스(합성),2.6,0.74,0.25403523855848464,국내파생,562185,19559,1100,3
168580,ACE 중국본토CSI300,1.35,-3.63,-0.1609887658333278,해외주식,7325,199,1100,2
245340,TIGER 미국다우존스30,0.88,-2.08,-0.057225108285213766,해외주식,23918,736,1090,2
275980,TIGER 글로벌4차산업혁신기술(합성 H),1.3,-4.42,-0.2097401910981579,해외주식,17655,297,1078,2
437080,KODEX 미국종합채권ESG액티브(H),0.28,-2.49,-0.1280202709964663,채권,6282,630,1076,1
270810,RISE 코스닥150,2.24,10.27,0.3013747218618301,국내 시장지수,57477,677,1075,3
495710,BNK 26-06 특수채(AAA이상)액티브,0.04,0.33,0.018295594570482625,채권,4,0,1061,1
465780,마이티 26-09 특수채(AAA)액티브,0.06,0.41,0.02210569531658768,채권,2,0,1057,1
476750,ACE 미국30년국채엔화노출액티브(H),0.93,-10.13,-0.5272930679568003,채권,155384,1401,1055,2
157490,TIGER 소프트웨어,2.03,0.76,-0.1346396267889966,국내 업종/테마,121006,962,1051,3
489870,히어로즈 25-09 회사채(AA-이상)액티브,0.02,0.26,0.015415393160461081,채권,0,0,1051,1
486450,SOL 미국AI전력인프라,2.55,0.46,0.1302791481874597,해외주식,423102,5930,1047,3
487240,KODEX AI전력핵심설비,2.38,15.47,0.6269353430948711,국내 업종/테마,776189,7530,1023,3
498180,파워 종합채권(AA-이상)액티브,0.33,-0.62,-0.01236243531006055,채권,108,10,1023,1
130730,KOSEF 단기자금,0.01,0.27,0.014838108693392292,채권,6809,691,1021,1
401470,KODEX K-메타버스액티브,1.82,2.13,-0.09463185768651927,국내 업종/테마,25654,165,1021,2
451060,1Q K200액티브,1.53,5.63,0.17070950806885032,국내 시장지수,18977,200,1018,2
445290,KODEX K-로봇액티브,3.11,17.43,0.6882202327789955,국내 업종/테마,1135736,15315,1013,3
472920,HK 종합채권(AA-이상)액티브,0.24,-0.58,-0.025038796071831362,채권,0,0,1008,1
471990,KODEX AI반도체핵심장비,3.0,28.02,1.196901644291997,국내 업종/테마,620937,5951,1007,3
401170,RISE 메타버스,2.11,4.81,0.05483032542391326,국내 업종/테마,9850,56,1006,3
441800,TIMEFOLIO Korea플러스배당액티브,1.3,2.6,-0.02619470623289784,국내 시장지수,126078,1623,996,2
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),3.39,11.25,0.9163723855403452,해외주식,88865,2836,990,3
463050,TIMEFOLIO K바이오액티브,3.12,13.87,0.43701242316656796,국내 업종/테마,180563,2100,989,3
461260,ACE 25-06 회사채(AA-이상)액티브,0.05,0.19,0.0077808754931820955,채권,7788,83,987,1
429000,TIGER 미국S&P500배당귀족,0.8,-3.59,-0.15664745790880027,해외주식,58391,728,986,1
498270,KOSEF 미국양자컴퓨팅,3.94,3.83,0.1794885913294251,해외주식,1664599,17311,980,3
228800,TIGER 여행레저,1.83,4.01,-0.03963267327043379,국내 업종/테마,84354,249,968,2
302450,RISE 코스피,1.5,5.74,0.16464130460777168,국내 시장지수,3669,94,968,2
385550,RISE 단기종합채권(AA-이상)액티브,0.02,0.26,0.01454232795658545,채권,3578,396,962,1
283580,KODEX 차이나CSI300,1.72,-3.53,-0.15226517534721407,해외주식,123453,1532,961,2
292560,TIGER 일본엔선물,0.51,-2.59,-0.09230916264301355,기타,94634,835,945,1
204480,TIGER 차이나CSI300레버리지(합성),2.91,-6.51,-0.287799803126882,해외주식,34065,621,937,3
464240,히어로즈 26-09 회사채(AA-이상)액티브,0.05,0.29,0.018525746852192534,채권,869,45,936,1
473440,ACE 11월만기자동연장회사채AA-이상액티브,0.04,0.33,0.018585545581111744,채권,7547,79,926,1
481430,RISE 국고채10년액티브,0.43,-1.81,-0.07416406084414888,채권,39733,4210,925,1
480040,ACE 미국반도체데일리타겟커버드콜(합성),1.41,3.84,0.2696527362594273,해외주식,114904,1222,906,2
400970,TIGER Fn메타버스,1.99,4.82,0.04861426901139206,국내 업종/테마,39762,258,901,3
114820,TIGER 국채3년,0.12,0.04,0.007558150309244782,채권,2053,220,890,1
461950,KODEX 2차전지핵심소재10,3.23,-2.39,-0.33166849991600894,국내 업종/테마,657041,2792,886,3
419890,히어로즈 단기채권ESG액티브,0.04,0.27,0.016612147123043177,채권,10906,1162,884,1
472150,TIGER 배당커버드콜액티브,1.39,6.86,0.2356277331698871,국내 업종/테마,75033,736,868,2
486830,HANARO 머니마켓액티브,0.01,0.29,0.01639818515845172,채권,4710,239,861,1
449770,KOSEF 미국S&P500,1.05,0.06,0.08982811233709438,해외주식,5966,104,859,2
284430,KODEX 200미국채혼합,0.52,2.04,0.10066426197370415,채권,94812,1227,851,1
139230,TIGER 200 중공업,1.79,16.62,0.6819536268842347,국내 업종/테마,474418,2695,840,2
325010,KODEX 성장주,1.8,9.71,0.37561817155132415,국내 업종/테마,213,2,838,2
144600,KODEX 은선물(H),1.84,-4.8,-0.31090323081204974,원자재,126914,679,824,2
478150,TIMEFOLIO 글로벌우주테크&방산액티브,1.68,3.56,0.28179526888883477,해외주식,118528,1671,818,2
453010,PLUS KOFR금리,0.01,0.24,0.014113521826012812,기타,7892,839,811,1
452250,ACE 미국30년국채선물레버리지(합성 H),1.29,-15.53,-0.9291148063563521,채권,205530,1139,799,2
476070,KODEX 글로벌비만치료제TOP2 Plus,1.34,-7.44,-0.29086867406988537,해외주식,102976,1096,798,2
464540,RISE 25-03 회사채(AA-이상)액티브,0.02,0.23,0.01425751522447073,채권,1665,84,794,1
475280,ACE 8월만기자동연장회사채AA-이상액티브,0.05,0.29,0.013415331075190058,채권,134,1,792,1
228810,TIGER 미디어컨텐츠,3.27,2.8,-0.09354399056040255,국내 업종/테마,293756,1466,787,3
150460,TIGER 중국소비테마,2.16,12.75,0.480183351066075,국내 업종/테마,34779,203,783,3
489030,PLUS 고배당주위클리커버드콜,1.27,-5.21,-0.45232399348764474,국내 업종/테마,546701,5129,781,2
266420,KODEX 헬스케어,2.34,11.77,0.4026956461222814,국내 업종/테마,51137,860,779,3
267770,TIGER 200선물레버리지,2.91,10.74,0.32187986125091717,국내파생,167696,1884,778,3
136340,RISE 중기우량회사채,0.09,0.19,0.01497925328838486,채권,3946,420,757,1
325020,KODEX 배당가치,1.35,1.3,-0.09098468499570471,국내 업종/테마,10658,140,755,2
491220,PLUS 200TR,1.43,5.62,0.1819281856312058,국내 시장지수,159,6,751,2
476760,ACE 미국30년국채액티브,0.79,-5.71,-0.24505199110765316,채권,163162,1652,750,1
278240,RISE 코스닥150선물레버리지,4.46,20.95,0.6186512058299676,국내파생,34212,284,739,3
295020,RISE 국채선물10년인버스,0.56,3.0,0.1203170266022957,채권,7,0,731,1
468820,WON 25-09 회사채(AA-이상)액티브,0.02,0.29,0.01650135757549477,채권,485,26,730,1
448330,KODEX 삼성전자채권혼합,0.58,1.73,0.06512798296116926,국내 시장지수,86975,917,729,1
458750,TIGER 미국배당다우존스타겟커버드콜1호,0.77,-1.14,-0.006429702590256732,해외주식,40094,482,722,1
494310,KODEX 반도체레버리지,4.75,42.71,1.7674453216219572,국내 업종/테마,356924,3232,712,3
494670,TIGER 조선TOP10,2.83,24.86,1.102516763249384,국내 업종/테마,723060,8967,711,3
332930,HANARO 200TR,1.54,5.69,0.1703974073360414,국내 시장지수,237,10,702,2
471760,TIGER AI반도체핵심공정,3.03,29.54,1.2739578965233436,국내 업종/테마,692850,6496,699,3
252710,TIGER 200선물인버스2X,2.92,-10.76,-0.28976606454487785,국내파생,2384015,6143,698,3
225040,TIGER 미국S&P500레버리지(합성 H),2.05,-5.36,-0.27455645670133405,해외주식,19804,916,696,3
414270,ACE 글로벌자율주행액티브,2.23,5.87,0.490853266170758,해외주식,522494,6353,694,3
174360,RISE 중국본토대형주CSI100,1.21,-2.04,-0.0836577199482978,해외주식,7045,128,693,2
412570,TIGER 2차전지TOP10레버리지,4.31,-3.59,-0.4841983222033964,국내 업종/테마,1881216,2707,693,3
463300,RISE 중국본토CSI300,1.59,-3.26,-0.16136790583143384,해외주식,3430,36,675,2
399110,SOL 미국S&P500ESG,1.04,-0.44,0.05064806161738532,해외주식,34325,587,668,2
261240,KODEX 미국달러선물,0.5,2.63,0.2151453264111881,기타,52153,753,664,1
497880,SOL CD금리&머니마켓액티브,0.01,0.3,0.016672069206697455,채권,68355,3421,664,1
310960,TIGER 200TR,1.44,5.54,0.17039151378295692,국내 시장지수,22800,429,664,2
261220,KODEX WTI원유선물(H),0.97,9.45,0.4459931409340078,원자재,192837,2972,656,2
139280,TIGER 경기방어,1.53,2.31,0.013934132768140916,국내 업종/테마,42591,415,652,2
236350,TIGER 인도니프티50레버리지(합성),1.41,-6.06,-0.21620288181482972,해외주식,6577,295,651,2
464310,TIGER 글로벌AI&로보틱스 INDXX,1.42,-0.9,0.027562439343590633,해외주식,148141,2053,635,2
195980,PLUS 신흥국MSCI(합성 H),0.88,-2.97,-0.20011656312849344,해외주식,45003,432,635,2
437070,KODEX 아시아달러채권ESG플러스액티브,0.42,0.8,0.11727899391434186,채권,172,10,635,1
269540,PLUS 미국S&P500(H),1.03,-2.05,-0.09846704221217843,해외주식,8509,205,629,2
411420,KODEX 미국메타버스나스닥액티브,2.35,-2.66,0.07761929598361268,해외주식,19783,310,622,3
489570,HANARO 25-12 은행채(AA+이상)액티브,0.07,0.4,0.016550832715370476,채권,1449,14,611,1
308620,KODEX 미국10년국채선물,0.53,-0.79,0.04795778433261214,채권,122462,1468,610,1
138540,TIGER 현대차그룹+펀더멘털,1.75,7.34,0.3024598196539817,국내 업종/테마,32663,870,610,2
233160,TIGER 코스닥150 레버리지,4.29,20.29,0.5978986045416615,국내파생,375045,3092,608,3
483340,ACE 구글밸류체인액티브,2.13,5.47,0.3990510358958594,해외주식,185524,2164,607,3
395290,HANARO Fn K-POP&미디어,2.58,4.29,-0.009337288939683294,국내 업종/테마,67273,455,592,3
266160,RISE 고배당,1.27,2.11,-0.003015639896855296,국내 업종/테마,17821,232,583,2
453330,RISE 미국S&P500(H),1.05,-2.38,-0.11705764176518302,해외주식,41313,600,582,2
