닉네임,날짜,내용
일개인적무림,2025-01-09T13:37:23+09:00,솔직히 누가 봐도 저평가는 맞음 근데 이거 투자할 바에 미국 우량주나 투자하지 지금은 주가 저평가 환율 저평가라 괜찮긴함 그래도 소액만 투자하세요 변동성 없어서 노잼임
1일100달러버는도토리도토리,2025-01-09T13:36:35+09:00,도토리도토리도토리₩₩₩₩
Jinace,2025-01-09T13:36:32+09:00,이게 머선129!!
익쩌리styx,2025-01-09T13:36:23+09:00,"잼있당 ㅎㅎㅎㅎ


애드랑 나 신나♡♡♡"
오빠달룡,2025-01-09T13:36:15+09:00,공매도 날라오면 미치겠죠 ㅠㅠ
더도말고백억만벌자,2025-01-09T13:36:14+09:00,외인들 백원띠기 하고 나가네 ㅎㅎ
권제로,2025-01-09T13:37:57+09:00,제가 사서 내린거임 물론 1주만샀지만 ㅋㅋ
보름낮달,2025-01-09T13:37:35+09:00,"얘는 진짜 숨기고 안보는게 맞구나
내년에보자 안녕~~"
일개인적무림,2025-01-09T13:37:23+09:00,솔직히 누가 봐도 저평가는 맞음 근데 이거 투자할 바에 미국 우량주나 투자하지 지금은 주가 저평가 환율 저평가라 괜찮긴함 그래도 소액만 투자하세요 변동성 없어서 노잼임
1일100달러버는도토리도토리,2025-01-09T13:36:35+09:00,도토리도토리도토리₩₩₩₩
Jinace,2025-01-09T13:36:32+09:00,이게 머선129!!
익쩌리styx,2025-01-09T13:36:23+09:00,"잼있당 ㅎㅎㅎㅎ


애드랑 나 신나♡♡♡"
오빠달룡,2025-01-09T13:36:15+09:00,공매도 날라오면 미치겠죠 ㅠㅠ
더도말고백억만벌자,2025-01-09T13:36:14+09:00,외인들 백원띠기 하고 나가네 ㅎㅎ
다이소매매,2025-01-09T13:35:59+09:00,징그럽네..
쪽박찬인생,2025-01-09T13:35:35+09:00,하루가 참 길구나....매일 반복되는 일상 오르락 또 내리락 또오르락 또 내리락 지겨벼
운좋은자산가,2025-01-09T13:35:07+09:00,노답이군
그라소,2025-01-09T13:34:33+09:00,떨어질 건데기가 아직도 남았니?
네오셈,2025-01-09T13:34:28+09:00,오른거다시반납이네
오빠달룡,2025-01-09T13:36:15+09:00,공매도 날라오면 미치겠죠 ㅠㅠ
더도말고백억만벌자,2025-01-09T13:36:14+09:00,외인들 백원띠기 하고 나가네 ㅎㅎ
다이소매매,2025-01-09T13:35:59+09:00,징그럽네..
쪽박찬인생,2025-01-09T13:35:35+09:00,하루가 참 길구나....매일 반복되는 일상 오르락 또 내리락 또오르락 또 내리락 지겨벼
운좋은자산가,2025-01-09T13:35:07+09:00,노답이군
그라소,2025-01-09T13:34:33+09:00,떨어질 건데기가 아직도 남았니?
네오셈,2025-01-09T13:34:28+09:00,오른거다시반납이네
급등주설거지1타강사,2025-01-09T13:34:09+09:00,"바보라서 물린게 아닙니다 ㅋㅋㅋㅋ
정확히 이런 식으로 물리게 되는거지
다시 올라갈거라고 손실 안보려고 들고있다가 최소 한달형임"
회산동사슴,2025-01-09T13:34:06+09:00,이럴줄 알았다...
잘사는집,2025-01-09T13:33:53+09:00,트위터
재로재로,2025-01-09T13:33:14+09:00,이정도로 저평가임?
장투그만,2025-01-09T13:32:55+09:00,떨어주는건 한순간
갸주야요,2025-01-09T13:32:17+09:00,그래도 이정도탈출이어디냐 좀더 저점에들어오겠습니다
네오셈,2025-01-09T13:34:28+09:00,오른거다시반납이네
급등주설거지1타강사,2025-01-09T13:34:09+09:00,"바보라서 물린게 아닙니다 ㅋㅋㅋㅋ
정확히 이런 식으로 물리게 되는거지
다시 올라갈거라고 손실 안보려고 들고있다가 최소 한달형임"
회산동사슴,2025-01-09T13:34:06+09:00,이럴줄 알았다...
잘사는집,2025-01-09T13:33:53+09:00,트위터
재로재로,2025-01-09T13:33:14+09:00,이정도로 저평가임?
장투그만,2025-01-09T13:32:55+09:00,떨어주는건 한순간
갸주야요,2025-01-09T13:32:17+09:00,그래도 이정도탈출이어디냐 좀더 저점에들어오겠습니다
일개인적무림,2025-01-09T13:32:09+09:00,외인 입장에서 이렇게 털어야 개미들 실망매물 받고 올림
아직은주린잇,2025-01-09T13:32:04+09:00,무섭게 내려가네요..
밥값냠,2025-01-09T13:31:33+09:00,자리 좀 지키자 님들아
뵹아리일,2025-01-09T13:30:42+09:00,아 익절로 겨우 탈출했다가 다시 오니까 또 물리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
마카오강,2025-01-09T13:30:39+09:00,어디까지 떨어지냐
익쩌리styx,2025-01-09T13:30:31+09:00,꽉잡앙 ㅎ
갸주야요,2025-01-09T13:32:17+09:00,그래도 이정도탈출이어디냐 좀더 저점에들어오겠습니다
일개인적무림,2025-01-09T13:32:09+09:00,외인 입장에서 이렇게 털어야 개미들 실망매물 받고 올림
아직은주린잇,2025-01-09T13:32:04+09:00,무섭게 내려가네요..
밥값냠,2025-01-09T13:31:33+09:00,자리 좀 지키자 님들아
뵹아리일,2025-01-09T13:30:42+09:00,아 익절로 겨우 탈출했다가 다시 오니까 또 물리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
마카오강,2025-01-09T13:30:39+09:00,어디까지 떨어지냐
익쩌리styx,2025-01-09T13:30:31+09:00,꽉잡앙 ㅎ
구름속의산책,2025-01-09T13:30:00+09:00,미래사업로봇ai어마하게큰돈이 들어가는데 몇년전부터벌써 계획이되어가는데 추진이잘된다면 미래사업만100조매출이가능하지않을까
보름낮달,2025-01-09T13:29:25+09:00,그렇게 사재껴도 파는사람이 더 많아서 올라가지 않는 주식이라니.. 대체 그동안 무슨일이 있었던거임
삼스헝,2025-01-09T13:29:04+09:00,미장으로 옮기고 수익 보는 중. 진짜 국장은 답이 없네
푸바오돌아와,2025-01-09T13:28:26+09:00,"다들 매수버튼에서 손 떼세요!!!
전 삼전을 해봤어요!!!!!!!!"
로스차일드가,2025-01-09T13:28:17+09:00,잘 좀 되나 싶었는데 ㅜㅜ 뭐지 참 국장 탈출은 지능순인가...
뵹아리일,2025-01-09T13:30:42+09:00,아 익절로 겨우 탈출했다가 다시 오니까 또 물리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
마카오강,2025-01-09T13:30:39+09:00,어디까지 떨어지냐
익쩌리styx,2025-01-09T13:30:31+09:00,꽉잡앙 ㅎ
구름속의산책,2025-01-09T13:30:00+09:00,미래사업로봇ai어마하게큰돈이 들어가는데 몇년전부터벌써 계획이되어가는데 추진이잘된다면 미래사업만100조매출이가능하지않을까
보름낮달,2025-01-09T13:29:25+09:00,그렇게 사재껴도 파는사람이 더 많아서 올라가지 않는 주식이라니.. 대체 그동안 무슨일이 있었던거임
삼스헝,2025-01-09T13:29:04+09:00,미장으로 옮기고 수익 보는 중. 진짜 국장은 답이 없네
푸바오돌아와,2025-01-09T13:28:26+09:00,"다들 매수버튼에서 손 떼세요!!!
전 삼전을 해봤어요!!!!!!!!"
로스차일드가,2025-01-09T13:28:17+09:00,잘 좀 되나 싶었는데 ㅜㅜ 뭐지 참 국장 탈출은 지능순인가...
삼성전자주주주주,2025-01-09T13:28:07+09:00,"개미 븅신들이 어제부터 계속 파니까 못올리고

그냥 포기하고나가노ㅋㅋ"
마카오강,2025-01-09T13:27:58+09:00,도망갑니다
미니퐁,2025-01-09T13:27:18+09:00,지겹다 지겨워
25년1억벌기,2025-01-09T13:27:07+09:00,난 삼전주주는 아니지만 삼전은 잘되었으면하는 바램
삼스헝,2025-01-09T13:29:04+09:00,미장으로 옮기고 수익 보는 중. 진짜 국장은 답이 없네
푸바오돌아와,2025-01-09T13:28:26+09:00,"다들 매수버튼에서 손 떼세요!!!
전 삼전을 해봤어요!!!!!!!!"
로스차일드가,2025-01-09T13:28:17+09:00,잘 좀 되나 싶었는데 ㅜㅜ 뭐지 참 국장 탈출은 지능순인가...
삼성전자주주주주,2025-01-09T13:28:07+09:00,"개미 븅신들이 어제부터 계속 파니까 못올리고

그냥 포기하고나가노ㅋㅋ"
마카오강,2025-01-09T13:27:58+09:00,도망갑니다
미니퐁,2025-01-09T13:27:18+09:00,지겹다 지겨워
25년1억벌기,2025-01-09T13:27:07+09:00,난 삼전주주는 아니지만 삼전은 잘되었으면하는 바램
하힝히,2025-01-09T13:27:07+09:00,어제 올린거 고대로 다시 빼겠네 내일까지ㅋㅋㅋ 개미지옥이네 진짜
일개인적무림,2025-01-09T13:26:49+09:00,전 59400부터 물량 정리할 거임 단지 미장 100으로 50만원 벌때 지금 삼전 800으로 -20만원 인게 변동성 1도 없고 이렇게 돈 묶이고 물릴바에 걍 엔비나 테슬라 변동성 쌘 걸로 묶이고 싶네요 그래도 한국 1등이라 샀는데 공부 안 하고 산 제 잘못이네요
투자대회참가자25698,2025-01-09T13:24:43+09:00,참 징글맞다
얼음연못,2025-01-09T13:24:41+09:00,개인들 또 낚였노 ㅋㅋㅋㅋㅋㅋ
아직은주린잇,2025-01-09T13:24:20+09:00,내려와꾸나 역시
trinity8888,2025-01-09T13:22:49+09:00,ㅎ
25년1억벌기,2025-01-09T13:27:07+09:00,난 삼전주주는 아니지만 삼전은 잘되었으면하는 바램
하힝히,2025-01-09T13:27:07+09:00,어제 올린거 고대로 다시 빼겠네 내일까지ㅋㅋㅋ 개미지옥이네 진짜
일개인적무림,2025-01-09T13:26:49+09:00,전 59400부터 물량 정리할 거임 단지 미장 100으로 50만원 벌때 지금 삼전 800으로 -20만원 인게 변동성 1도 없고 이렇게 돈 묶이고 물릴바에 걍 엔비나 테슬라 변동성 쌘 걸로 묶이고 싶네요 그래도 한국 1등이라 샀는데 공부 안 하고 산 제 잘못이네요
투자대회참가자25698,2025-01-09T13:24:43+09:00,참 징글맞다
얼음연못,2025-01-09T13:24:41+09:00,개인들 또 낚였노 ㅋㅋㅋㅋㅋㅋ
아직은주린잇,2025-01-09T13:24:20+09:00,내려와꾸나 역시
trinity8888,2025-01-09T13:22:49+09:00,ㅎ
삼성시크릿쥬쥬,2025-01-09T13:21:40+09:00,오늘도 개미만 낚였구나~~
의왕불량주부,2025-01-09T13:21:29+09:00,모건은 하는짓이 개 쌩 양아치 같아요 아침에 쭈욱 들어와서 단타 치고 빠지네요 어제 목포가 낮주고 들어와서는 ~ 개미들 어그로 나 하고 하여간 개 쌩양치들..
호오고우,2025-01-09T13:21:18+09:00,2퍼오르고 2퍼 조정하고 이게삼전이지 아오
천재주린i,2025-01-09T13:20:49+09:00,다시 소액 입성
급등주단타왕,2025-01-09T13:20:04+09:00,얼음
전삼2500출,2025-01-09T13:19:54+09:00,#삼성전자 팔지마 ...
trinity8888,2025-01-09T13:22:49+09:00,ㅎ
삼성시크릿쥬쥬,2025-01-09T13:21:40+09:00,오늘도 개미만 낚였구나~~
의왕불량주부,2025-01-09T13:21:29+09:00,모건은 하는짓이 개 쌩 양아치 같아요 아침에 쭈욱 들어와서 단타 치고 빠지네요 어제 목포가 낮주고 들어와서는 ~ 개미들 어그로 나 하고 하여간 개 쌩양치들..
호오고우,2025-01-09T13:21:18+09:00,2퍼오르고 2퍼 조정하고 이게삼전이지 아오
천재주린i,2025-01-09T13:20:49+09:00,다시 소액 입성
급등주단타왕,2025-01-09T13:20:04+09:00,얼음
전삼2500출,2025-01-09T13:19:54+09:00,#삼성전자 팔지마 ...
국장여우,2025-01-09T13:19:10+09:00,"끝났어요,,?"
장투황태자,2025-01-09T13:18:50+09:00,기관=흉적=이완익=개양치
익쩌리styx,2025-01-09T13:18:50+09:00,생각보다 빨리 내려온당..ㅎ
매스캇,2025-01-09T13:18:15+09:00,"니가
그럼 그렇지"
해피엔딩s,2025-01-09T13:18:10+09:00,"분할 2차 매수 했습니다.

앞으로도 계속 잘게 분할 매수해서

평단 조절하고 수량 늘릴 생각이니,

혹시 함께 가실분들은 시드 잘게 나눠서

같이 가요^^

파이팅 입니다."
급등주단타왕,2025-01-09T13:20:04+09:00,얼음
전삼2500출,2025-01-09T13:19:54+09:00,#삼성전자 팔지마 ...
국장여우,2025-01-09T13:19:10+09:00,"끝났어요,,?"
장투황태자,2025-01-09T13:18:50+09:00,기관=흉적=이완익=개양치
익쩌리styx,2025-01-09T13:18:50+09:00,생각보다 빨리 내려온당..ㅎ
매스캇,2025-01-09T13:18:15+09:00,"니가
그럼 그렇지"
해피엔딩s,2025-01-09T13:18:10+09:00,"분할 2차 매수 했습니다.

앞으로도 계속 잘게 분할 매수해서

평단 조절하고 수량 늘릴 생각이니,

혹시 함께 가실분들은 시드 잘게 나눠서

같이 가요^^

파이팅 입니다."
짐시작,2025-01-09T13:17:48+09:00,밑에서 뭐이 잡아땡기나 올라가지를 못하네 ᆢ
허후호혀,2025-01-09T13:17:23+09:00,심상치않다
장투황태자,2025-01-09T13:17:19+09:00,기관은 매도해서 엿사쳐먹고.
슈랭슈랭,2025-01-09T13:16:42+09:00,빨간불 안파라 ~떨어지면 물타징.
과즈아앙,2025-01-09T13:16:25+09:00,JP모건서울은 평단이 얼마길래 오전에 최고가에 사서 지금 던진 건가요?
매스캇,2025-01-09T13:18:15+09:00,"니가
그럼 그렇지"
해피엔딩s,2025-01-09T13:18:10+09:00,"분할 2차 매수 했습니다.

앞으로도 계속 잘게 분할 매수해서

평단 조절하고 수량 늘릴 생각이니,

혹시 함께 가실분들은 시드 잘게 나눠서

같이 가요^^

파이팅 입니다."
짐시작,2025-01-09T13:17:48+09:00,밑에서 뭐이 잡아땡기나 올라가지를 못하네 ᆢ
허후호혀,2025-01-09T13:17:23+09:00,심상치않다
장투황태자,2025-01-09T13:17:19+09:00,기관은 매도해서 엿사쳐먹고.
슈랭슈랭,2025-01-09T13:16:42+09:00,빨간불 안파라 ~떨어지면 물타징.
과즈아앙,2025-01-09T13:16:25+09:00,JP모건서울은 평단이 얼마길래 오전에 최고가에 사서 지금 던진 건가요?
귀싱꿈꿔뚀,2025-01-09T13:15:52+09:00,"우리나라 대표기업 주식이 이정도 일줄이야..
주식얼마안하고 물론장투를 해봣자 3-4개월정도지만.. 삼성은 ㅜㅜ
들어올때마다 왜 .. 고구마먹은느낌이징..
심지어 호재가 지금 널려있고 … 미래가치가
있어서 투자할맛 날텐데도 이렇게 오르지 못하니
ㅠㅠㅠㅠㅠㅠ 너무 물려잇는사람들이 많아서
그런가 ㅜㅜ"
초식동물OO,2025-01-09T13:15:48+09:00,대피하라
장투황태자,2025-01-09T13:15:30+09:00,나라가 산다.갸양짓의 대명사 기관
Mkopl,2025-01-09T13:15:01+09:00,10년 숨기기 해야것어
러블리소울,2025-01-09T13:14:37+09:00,57000원 안뚤리니까 매도 친겁니다 매물이 많긴 한가봐요 내일 재돌파 시도할듯 아니면 월요일이나
가격파괴,2025-01-09T13:13:37+09:00,재용이형 정말 너무하다...
과즈아앙,2025-01-09T13:16:25+09:00,JP모건서울은 평단이 얼마길래 오전에 최고가에 사서 지금 던진 건가요?
귀싱꿈꿔뚀,2025-01-09T13:15:52+09:00,"우리나라 대표기업 주식이 이정도 일줄이야..
주식얼마안하고 물론장투를 해봣자 3-4개월정도지만.. 삼성은 ㅜㅜ
들어올때마다 왜 .. 고구마먹은느낌이징..
심지어 호재가 지금 널려있고 … 미래가치가
있어서 투자할맛 날텐데도 이렇게 오르지 못하니
ㅠㅠㅠㅠㅠㅠ 너무 물려잇는사람들이 많아서
그런가 ㅜㅜ"
초식동물OO,2025-01-09T13:15:48+09:00,대피하라
장투황태자,2025-01-09T13:15:30+09:00,나라가 산다.갸양짓의 대명사 기관
Mkopl,2025-01-09T13:15:01+09:00,10년 숨기기 해야것어
러블리소울,2025-01-09T13:14:37+09:00,57000원 안뚤리니까 매도 친겁니다 매물이 많긴 한가봐요 내일 재돌파 시도할듯 아니면 월요일이나
가격파괴,2025-01-09T13:13:37+09:00,재용이형 정말 너무하다...
trinity8888,2025-01-09T13:12:18+09:00,파이팅!
지누님,2025-01-09T13:12:13+09:00,다음에 다시 오겠습니다..
효효쟝,2025-01-09T13:11:59+09:00,뭐꼬
주린22221,2025-01-09T13:11:13+09:00,삼전 왜이러냐;;
하힝히,2025-01-09T13:10:33+09:00,저번에도 57이랑58 못넘더니 이번에도 못넘네ㅜ
주식은고기랑빵이다,2025-01-09T13:10:26+09:00,내가사면 떨어지고 팔면 오름.. 친구들이 너가 팔때 알려달라고…
가격파괴,2025-01-09T13:13:37+09:00,재용이형 정말 너무하다...
trinity8888,2025-01-09T13:12:18+09:00,파이팅!
지누님,2025-01-09T13:12:13+09:00,다음에 다시 오겠습니다..
효효쟝,2025-01-09T13:11:59+09:00,뭐꼬
주린22221,2025-01-09T13:11:13+09:00,삼전 왜이러냐;;
하힝히,2025-01-09T13:10:33+09:00,저번에도 57이랑58 못넘더니 이번에도 못넘네ㅜ
주식은고기랑빵이다,2025-01-09T13:10:26+09:00,내가사면 떨어지고 팔면 오름.. 친구들이 너가 팔때 알려달라고…
고공1244,2025-01-09T13:08:01+09:00,와 100만이 사라지네 ㄷㄷㄷ
댕댕이12,2025-01-09T13:07:28+09:00,그냥 묵묵히 들고만 있어도 언제가 오를것을.. 마음이 조급해지면 투자도 실패로 끝나요
주목이,2025-01-09T13:04:59+09:00,"이정도면 주식 떨굴라고 사는게 아닐까 싶은 망상이 듭니다
Feat . 잭슨황"
오늘도꼬라,2025-01-09T13:03:29+09:00,지금이 제일 싸다!!
내나이아홉살,2025-01-09T13:03:29+09:00,흐흐흐흐
파랑파롱,2025-01-09T13:01:28+09:00,호재만 떴는데도 바닥을 달리네 이야..
SeP9,2025-01-09T13:00:21+09:00,외인 한큐에 백만주 팔았네
주식은고기랑빵이다,2025-01-09T13:10:26+09:00,내가사면 떨어지고 팔면 오름.. 친구들이 너가 팔때 알려달라고…
고공1244,2025-01-09T13:08:01+09:00,와 100만이 사라지네 ㄷㄷㄷ
댕댕이12,2025-01-09T13:07:28+09:00,그냥 묵묵히 들고만 있어도 언제가 오를것을.. 마음이 조급해지면 투자도 실패로 끝나요
주목이,2025-01-09T13:04:59+09:00,"이정도면 주식 떨굴라고 사는게 아닐까 싶은 망상이 듭니다
Feat . 잭슨황"
오늘도꼬라,2025-01-09T13:03:29+09:00,지금이 제일 싸다!!
내나이아홉살,2025-01-09T13:03:29+09:00,흐흐흐흐
파랑파롱,2025-01-09T13:01:28+09:00,호재만 떴는데도 바닥을 달리네 이야..
SeP9,2025-01-09T13:00:21+09:00,외인 한큐에 백만주 팔았네
일개인적무림,2025-01-09T12:59:44+09:00,잡주 탈출 하고 싶어요
삿포로갈랭,2025-01-09T12:57:56+09:00,지금 이익일 때 팔아야 하나
doilloo,2025-01-09T12:56:19+09:00,뭐냐 외국인 오전까지 100만 넘었는데 싹 사라졌네
포도님이라규,2025-01-09T12:56:01+09:00,널 믿고 투자한 내가 실수 ㅠ
빨간맛가즈아,2025-01-09T12:54:51+09:00,JP모간 한번에 952816주 팔았네 개늠들
파랑파롱,2025-01-09T13:01:28+09:00,호재만 떴는데도 바닥을 달리네 이야..
SeP9,2025-01-09T13:00:21+09:00,외인 한큐에 백만주 팔았네
일개인적무림,2025-01-09T12:59:44+09:00,잡주 탈출 하고 싶어요
삿포로갈랭,2025-01-09T12:57:56+09:00,지금 이익일 때 팔아야 하나
doilloo,2025-01-09T12:56:19+09:00,뭐냐 외국인 오전까지 100만 넘었는데 싹 사라졌네
포도님이라규,2025-01-09T12:56:01+09:00,널 믿고 투자한 내가 실수 ㅠ
빨간맛가즈아,2025-01-09T12:54:51+09:00,JP모간 한번에 952816주 팔았네 개늠들
호갱쓰,2025-01-09T12:53:25+09:00,내가 다신 삼성 관련주식 사나 봐라.. ㅋㅋ 진짜 조오오오오오온나 쓰ㄹㅐ기주식이네
2030년미래에서왔다,2025-01-09T12:52:03+09:00,새로운거 없음 나락이다만....
앞자리남학생,2025-01-09T12:51:06+09:00,내 리게팅 아이온큐부터 살려라 젠ㅆ황아
키요코,2025-01-09T12:50:13+09:00,삼전이 별로다! 삼전이 무너질거라고 얘기하는게 아닙니다. 투자를 하지말라는것도 아니지요 하지만 지금 삼성에 '혁신'이 빠졌습니다 이게 되게 큰 위기입니다. 젠슨황이 마이크론 선택하고 SK는 2025 HBM 준비가 어느정도 되어가고 있지만 삼성은 아직까지 잘모르겠습니다. 저는 CES2025 덕에 조금 오른거 같은 느낌이 듭니다 결론은 가보자 삼성 제발 !!!
삼스헝,2025-01-09T12:49:37+09:00,혹시나가 역시나지
탐욕스님,2025-01-09T12:49:12+09:00,나도 가지고는 있지만 굳이 이런종목에 들어가서 수익률을 갉아먹는일은 안해도될듯
애플웨스트,2025-01-09T12:48:44+09:00,네이놈
호갱쓰,2025-01-09T12:53:25+09:00,내가 다신 삼성 관련주식 사나 봐라.. ㅋㅋ 진짜 조오오오오오온나 쓰ㄹㅐ기주식이네
2030년미래에서왔다,2025-01-09T12:52:03+09:00,새로운거 없음 나락이다만....
앞자리남학생,2025-01-09T12:51:06+09:00,내 리게팅 아이온큐부터 살려라 젠ㅆ황아
키요코,2025-01-09T12:50:13+09:00,삼전이 별로다! 삼전이 무너질거라고 얘기하는게 아닙니다. 투자를 하지말라는것도 아니지요 하지만 지금 삼성에 '혁신'이 빠졌습니다 이게 되게 큰 위기입니다. 젠슨황이 마이크론 선택하고 SK는 2025 HBM 준비가 어느정도 되어가고 있지만 삼성은 아직까지 잘모르겠습니다. 저는 CES2025 덕에 조금 오른거 같은 느낌이 듭니다 결론은 가보자 삼성 제발 !!!
삼스헝,2025-01-09T12:49:37+09:00,혹시나가 역시나지
탐욕스님,2025-01-09T12:49:12+09:00,나도 가지고는 있지만 굳이 이런종목에 들어가서 수익률을 갉아먹는일은 안해도될듯
애플웨스트,2025-01-09T12:48:44+09:00,네이놈
1초당10억,2025-01-09T12:48:31+09:00,상승세 기대 했는데 아쉽네요
달구형,2025-01-09T12:47:53+09:00,짧게 들어갔다가 갑니다. 한국 시장은 나중에 돌아올게요.
홍pro,2025-01-09T12:46:30+09:00,삼성망하자~
주린나롱,2025-01-09T12:46:02+09:00,에헤이 다 조졌네이거
투기꾼서씨,2025-01-09T12:42:53+09:00,비자발적 장투유발종목
포도님이라규,2025-01-09T12:42:08+09:00,서로 못 팔아서 안달이네 ㅋ
애플웨스트,2025-01-09T12:48:44+09:00,네이놈
1초당10억,2025-01-09T12:48:31+09:00,상승세 기대 했는데 아쉽네요
달구형,2025-01-09T12:47:53+09:00,짧게 들어갔다가 갑니다. 한국 시장은 나중에 돌아올게요.
홍pro,2025-01-09T12:46:30+09:00,삼성망하자~
주린나롱,2025-01-09T12:46:02+09:00,에헤이 다 조졌네이거
투기꾼서씨,2025-01-09T12:42:53+09:00,비자발적 장투유발종목
포도님이라규,2025-01-09T12:42:08+09:00,서로 못 팔아서 안달이네 ㅋ
가자저높은곳으로,2025-01-09T12:42:06+09:00,"엔비디아 대항마 브로드컴이 삼성에 설계맡기고
구글하고 애플등등 수요업체에 공급하려고 한다는데 그래서 삼성 곧 좋아진다는데
사실인가요?
어제쯤?"
빨간맛가즈아,2025-01-09T12:41:45+09:00,가즈아
죽죽죽올라라,2025-01-09T12:41:45+09:00,옆에는 5% 오르는구먼 왜이래
불기둥전문가,2025-01-09T12:41:22+09:00,제 그릇은 여기까지..
오키토끼요,2025-01-09T12:39:32+09:00,"양전좀 가즈아~~
이제 -1.5 남았다!!"
맨징하고파,2025-01-09T12:39:17+09:00,"1차 56000원 (통과)
2차 59000원
3차 66000원

렛츠고"
포도님이라규,2025-01-09T12:42:08+09:00,서로 못 팔아서 안달이네 ㅋ
가자저높은곳으로,2025-01-09T12:42:06+09:00,"엔비디아 대항마 브로드컴이 삼성에 설계맡기고
구글하고 애플등등 수요업체에 공급하려고 한다는데 그래서 삼성 곧 좋아진다는데
사실인가요?
어제쯤?"
빨간맛가즈아,2025-01-09T12:41:45+09:00,가즈아
죽죽죽올라라,2025-01-09T12:41:45+09:00,옆에는 5% 오르는구먼 왜이래
불기둥전문가,2025-01-09T12:41:22+09:00,제 그릇은 여기까지..
오키토끼요,2025-01-09T12:39:32+09:00,"양전좀 가즈아~~
이제 -1.5 남았다!!"
맨징하고파,2025-01-09T12:39:17+09:00,"1차 56000원 (통과)
2차 59000원
3차 66000원

렛츠고"
삿포로갈랭,2025-01-09T12:38:57+09:00,양전 좀 해봐 100원 갖고 엄청 왔다갔다하넹
뿌니걸,2025-01-09T12:38:47+09:00,오늘 딱 58까지만
박현명,2025-01-09T12:37:28+09:00,이쯤되면 양자주식하는애들 외화유출범아니냐
58261언제올래,2025-01-09T12:36:54+09:00,쪼매만 더가다 간질나게 하지 말고 제발 소원이다
이기은,2025-01-09T12:36:39+09:00,꺼억
맨징하고파,2025-01-09T12:39:17+09:00,"1차 56000원 (통과)
2차 59000원
3차 66000원

렛츠고"
삿포로갈랭,2025-01-09T12:38:57+09:00,양전 좀 해봐 100원 갖고 엄청 왔다갔다하넹
뿌니걸,2025-01-09T12:38:47+09:00,오늘 딱 58까지만
박현명,2025-01-09T12:37:28+09:00,이쯤되면 양자주식하는애들 외화유출범아니냐
58261언제올래,2025-01-09T12:36:54+09:00,쪼매만 더가다 간질나게 하지 말고 제발 소원이다
이기은,2025-01-09T12:36:39+09:00,꺼억
여비잖아,2025-01-09T12:36:17+09:00,배신자 들어오기전에 빨리 상가야 하지 않을까요?
고구마농부,2025-01-09T12:35:55+09:00,ㅆ레기주식
말차빵,2025-01-09T12:35:25+09:00,"오늘 옵션만기일
외인들 수익을 위해서 오늘 어거지로 지수방어하고
내일 쏟아져 내릴듯…"
손마사요시,2025-01-09T12:35:10+09:00,한곳에 모아서 섬에 쳐박고 강제노동을 시켜야된다 ㅉ
보일러댁에아버님놔드려야겠어,2025-01-09T12:25:05+09:00,삼전 1% 오를때 하이닉스 는 10% 오름.
정신차리고보니,2025-01-09T12:22:23+09:00,"20대 _ 인물 자랑 하며 살고
30대 _ 직장 자랑 하며 살고
40대 _ 재물 자랑 하며 살고
50대 _ 자식 자랑 하며 살고
60대 _ 세상 지켜 보며 살고
70대 _ 병원 다니는 재미로 살고
80대 _ 살아있어 사는것 이오

살다보면 잘해도 후회할것 이고 못해도 후회할것 인데 한살이라도 젊을때 부모님께 효도하고 가족에게 잘하는 삶이 행복한 삶이 아닐까 합니다.

욕심이 많고 돈 자랑하는건...
아직 건강하다는 증거 입니다.
젊기에 하고싶은 게 많다는 것
아프면 다 부질없는 것이오 ~~

돈좀 있으면 좋은 차 뽑아서 타고 다님 되고
돈좀 없으면 대중교통 이용하면 되고

돈좀 있으면 짜장면 사먹음 되고
돈좀 없으면 짜파게티 먹음 되고
다 뱃속에 들가면 똑같은 것인데

꼭 부모님 이나 가족에게 소고기 사줘야 행복이 아닙니다...
국밥을 한그릇 먹더라도 함께 웃으면서
따뜻하 말한마디 해주고 그런게 행복 아닐까요?

추운날씨 다들 부모님 그리고 가족에게
따뜻한 말 한마디가 추위를 녹여주지 않을까 싶네요 ~^^

그대가 헛데이 보낸 오늘은 ... 어제 죽어간 이가 그토록 살고 싶어하던 내일"
보일러댁에아버님놔드려야겠어,2025-01-09T12:21:44+09:00,아차 싶어서 외인들 다시 매도 ㅋ
여비잖아,2025-01-09T12:36:17+09:00,배신자 들어오기전에 빨리 상가야 하지 않을까요?
고구마농부,2025-01-09T12:35:55+09:00,ㅆ레기주식
말차빵,2025-01-09T12:35:25+09:00,"오늘 옵션만기일
외인들 수익을 위해서 오늘 어거지로 지수방어하고
내일 쏟아져 내릴듯…"
손마사요시,2025-01-09T12:35:10+09:00,한곳에 모아서 섬에 쳐박고 강제노동을 시켜야된다 ㅉ
보일러댁에아버님놔드려야겠어,2025-01-09T12:25:05+09:00,삼전 1% 오를때 하이닉스 는 10% 오름.
